team,season,points
CHI,2022,"[3, 4, 7, 8, 11, 12, 12, 15, 18, 18, 21, 21, 24, 25, 26, 29, 29, 29, 29, 32, 33, 33]"
GFC,2022,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 7, 7, 10, 10, 13, 13, 13, 13, 13, 13, 13]"
HOU,2022,"[0, 1, 4, 4, 4, 7, 8, 11, 12, 13, 13, 16, 17, 20, 21, 24, 24, 27, 30, 30, 33, 36]"
KCC,2022,"[0, 3, 4, 7, 8, 11, 12, 13, 16, 17, 20, 20, 21, 21, 21, 24, 27, 30, 33, 36, 36, 36]"
LA,2022,"[3, 3, 6, 6, 7, 8, 11, 11, 14, 17, 17, 20, 20, 23, 23, 24, 25, 28, 29, 29, 29, 29]"
LOU,2022,"[1, 4, 4, 4, 4, 4, 5, 6, 6, 9, 12, 12, 13, 16, 16, 17, 18, 19, 20, 20, 20, 23]"
NC,2022,"[0, 0, 0, 1, 1, 4, 7, 10, 13, 13, 16, 16, 17, 20, 23, 23, 24, 25, 25, 28, 31, 32]"
ORL,2022,"[0, 1, 1, 2, 3, 6, 7, 7, 7, 7, 8, 11, 14, 14, 14, 14, 15, 16, 19, 22, 22, 22]"
POR,2022,"[3, 4, 5, 5, 8, 11, 14, 15, 15, 18, 21, 22, 23, 26, 27, 28, 31, 34, 34, 37, 38, 39]"
RGN,2022,"[1, 2, 5, 8, 11, 14, 15, 15, 18, 19, 22, 22, 23, 23, 24, 24, 27, 28, 31, 34, 37, 40]"
SD,2022,"[3, 6, 7, 8, 11, 12, 12, 12, 15, 18, 19, 22, 22, 25, 25, 26, 29, 29, 32, 35, 35, 36]"
WAS,2022,"[3, 3, 4, 4, 5, 5, 6, 6, 9, 12, 12, 13, 14, 15, 15, 16, 16, 17, 18, 19, 19, 19]"
CHI,2023,"[0, 3, 4, 4, 7, 7, 7, 10, 11, 14, 14, 14, 14, 14, 14, 17, 17, 20, 20, 21, 24, 24]"
GFC,2023,"[0, 3, 4, 4, 7, 8, 11, 12, 15, 15, 16, 19, 22, 22, 25, 28, 29, 30, 30, 30, 31, 31]"
HOU,2023,"[1, 1, 4, 4, 7, 8, 9, 9, 10, 11, 11, 14, 15, 16, 16, 19, 20, 20, 20, 23, 26, 26]"
KCC,2023,"[0, 3, 6, 6, 6, 6, 9, 9, 12, 12, 15, 15, 15, 15, 15, 18, 21, 21, 22, 25, 25, 26]"
LA,2023,"[0, 1, 1, 4, 4, 4, 5, 8, 11, 11, 14, 17, 18, 19, 19, 19, 22, 23, 24, 27, 28, 31]"
LOU,2023,"[1, 2, 5, 5, 6, 9, 12, 13, 16, 16, 19, 20, 21, 21, 21, 24, 25, 25, 26, 27, 27, 27]"
NC,2023,"[3, 3, 4, 7, 8, 11, 14, 17, 18, 19, 20, 20, 20, 23, 26, 26, 29, 29, 29, 29, 30, 33]"
ORL,2023,"[0, 0, 3, 6, 9, 9, 12, 15, 15, 18, 21, 21, 21, 24, 25, 25, 25, 25, 28, 28, 31, 31]"
POR,2023,"[3, 4, 7, 8, 11, 14, 14, 17, 20, 20, 23, 26, 27, 27, 28, 31, 31, 34, 34, 35, 35, 35]"
RGN,2023,"[3, 6, 9, 9, 12, 12, 15, 16, 19, 20, 21, 21, 24, 25, 25, 26, 29, 29, 29, 29, 29, 32]"
SD,2023,"[3, 6, 6, 7, 7, 7, 8, 11, 14, 14, 17, 17, 20, 20, 23, 26, 29, 30, 30, 33, 36, 37]"
WAS,2023,"[3, 4, 7, 8, 9, 12, 12, 13, 13, 16, 16, 17, 20, 21, 24, 24, 27, 27, 28, 29, 29, 30]"
BAY,2024,"[0, 3, 3, 3, 6, 6, 6, 9, 9, 12, 12, 12, 15, 18, 18, 18, 18, 18, 21, 24, 24, 27, 28, 31, 31, 34]"
CHI,2024,"[3, 3, 3, 3, 6, 6, 6, 9, 9, 12, 12, 12, 12, 15, 16, 19, 22, 22, 23, 23, 26, 26, 26, 29, 32, 32]"
GFC,2024,"[1, 2, 5, 8, 11, 14, 14, 15, 18, 21, 24, 27, 30, 33, 33, 33, 36, 37, 40, 43, 46, 46, 49, 50, 53, 56]"
HOU,2024,"[1, 1, 2, 2, 2, 5, 6, 7, 7, 7, 10, 10, 10, 10, 13, 13, 14, 17, 17, 17, 17, 17, 17, 17, 20, 20]"
KCC,2024,"[3, 6, 9, 12, 13, 16, 17, 20, 20, 23, 26, 27, 30, 33, 34, 37, 38, 39, 42, 45, 45, 45, 46, 49, 52, 55]"
LA,2024,"[0, 3, 3, 3, 4, 7, 7, 7, 10, 10, 11, 11, 12, 13, 13, 16, 19, 19, 19, 20, 20, 23, 23, 26, 27, 27]"
LOU,2024,"[1, 2, 5, 5, 8, 8, 8, 11, 11, 14, 17, 17, 20, 21, 22, 23, 23, 24, 27, 27, 28, 28, 28, 28, 28, 28]"
NC,2024,"[3, 6, 9, 12, 15, 16, 19, 22, 25, 26, 29, 30, 30, 30, 30, 30, 30, 30, 30, 30, 33, 33, 36, 36, 39, 39]"
ORL,2024,"[1, 2, 5, 8, 11, 14, 17, 20, 23, 24, 27, 30, 33, 34, 37, 40, 43, 44, 45, 48, 51, 54, 57, 60, 60, 60]"
POR,2024,"[0, 1, 4, 7, 10, 13, 13, 16, 16, 16, 16, 19, 22, 22, 22, 25, 28, 31, 31, 32, 33, 33, 33, 34, 34, 34]"
RGN,2024,"[3, 3, 6, 7, 7, 8, 9, 10, 13, 13, 13, 13, 16, 16, 16, 16, 16, 16, 16, 16, 17, 20, 23, 23, 23, 23]"
SD,2024,"[0, 3, 6, 9, 10, 11, 11, 11, 12, 12, 15, 15, 18, 19, 19, 19, 19, 20, 21, 21, 22, 22, 25, 25, 25, 25]"
UTA,2024,"[0, 3, 3, 4, 4, 4, 4, 5, 8, 8, 11, 14, 14, 14, 14, 14, 14, 14, 17, 17, 18, 21, 21, 21, 24, 25]"
WAS,2024,"[3, 6, 9, 9, 12, 15, 16, 16, 19, 22, 25, 28, 31, 31, 34, 37, 37, 40, 43, 46, 49, 50, 50, 53, 53, 56]"
BAY,2025,"[3, 3, 4, 7, 10, 10, 11, 11, 11, 11, 12, 12, 12, 13, 13, 16, 16, 16, 17, 17, 18, 18, 19, 19, 20, 20]"
CHI,2025,"[0, 0, 0, 0, 0, 1, 2, 3, 4, 7, 8, 9, 12, 12, 15, 15, 16, 16, 17, 17, 18, 19, 19, 19, 20, 20]"
GFC,2025,"[0, 3, 4, 4, 4, 7, 8, 8, 9, 12, 15, 16, 17, 18, 19, 22, 22, 25, 25, 28, 29, 32, 35, 36, 36, 36]"
HOU,2025,"[0, 1, 1, 4, 4, 4, 5, 5, 8, 9, 12, 13, 16, 19, 19, 22, 22, 22, 23, 26, 27, 30, 30, 30, 30, 30]"
KCC,2025,"[3, 6, 9, 12, 15, 18, 19, 22, 23, 26, 29, 32, 35, 38, 41, 41, 41, 44, 47, 50, 53, 56, 59, 62, 65, 65]"
LA,2025,"[1, 4, 4, 7, 7, 8, 8, 11, 14, 15, 15, 18, 18, 19, 22, 22, 25, 25, 25, 25, 26, 27, 27, 27, 27, 27]"
LOU,2025,"[1, 1, 1, 4, 4, 7, 10, 10, 11, 11, 14, 15, 18, 18, 21, 22, 25, 28, 28, 29, 30, 33, 33, 33, 36, 37]"
NC,2025,"[0, 0, 3, 4, 7, 10, 11, 12, 13, 16, 16, 17, 20, 21, 22, 22, 25, 25, 25, 28, 28, 29, 29, 32, 32, 35]"
ORL,2025,"[3, 6, 6, 9, 9, 12, 13, 14, 14, 15, 15, 18, 19, 22, 25, 25, 26, 29, 32, 32, 33, 33, 33, 36, 37, 40]"
POR,2025,"[1, 2, 5, 6, 9, 12, 15, 18, 18, 18, 19, 22, 25, 25, 28, 28, 29, 32, 32, 32, 33, 36, 37, 37, 37, 40]"
RGN,2025,"[1, 1, 4, 7, 7, 7, 10, 11, 12, 15, 18, 19, 22, 25, 25, 26, 29, 32, 33, 36, 36, 37, 37, 37, 38, 39]"
SD,2025,"[3, 3, 6, 7, 10, 10, 11, 12, 12, 12, 12, 12, 15, 16, 16, 19, 22, 25, 28, 29, 32, 33, 34, 34, 37, 37]"
UTA,2025,"[1, 1, 4, 4, 4, 4, 4, 4, 5, 8, 11, 11, 14, 14, 14, 14, 14, 15, 15, 16, 17, 20, 21, 24, 25, 25]"
WAS,2025,"[0, 3, 3, 3, 4, 7, 10, 11, 12, 15, 18, 21, 21, 24, 27, 30, 33, 36, 36, 37, 38, 41, 42, 43, 44, 44]"
