team_name,team_abbreviation,season_name,date_time_utc,goals_for,goals_against,xgoals_for,xgoals_against,knockout_game
Washington Spirit,WAS,2016,2016-05-22 02:00:00 UTC,1,3,0.4308,2.0547,False
NJ/NY Gotham FC,NJY,2016,2016-05-07 23:00:00 UTC,1,2,0.8343,1.5003000000000002,False
Western New York Flash,WNY,2016,2016-05-07 23:00:00 UTC,2,1,1.5003000000000002,0.8343,False
Washington Spirit,WAS,2016,2016-07-31 15:00:00 UTC,3,1,1.0629,0.9078,False
NJ/NY Gotham FC,NJY,2016,2016-07-31 15:00:00 UTC,1,3,0.9078,1.0629,False
Chicago Red Stars,CHI,2017,2017-07-22 19:30:00 UTC,2,1,1.3851,1.2578,False
Orlando Pride,ORL,2017,2017-07-22 19:30:00 UTC,1,2,1.2578,1.3851,False
OL Reign,RGN,2017,2017-08-14 01:00:00 UTC,1,2,1.0388,0.5994,False
North Carolina Courage,NC,2017,2017-08-14 01:00:00 UTC,2,1,0.5994,1.0388,False
Houston Dash,HOU,2017,2017-05-20 20:00:00 UTC,1,2,1.163,1.7328000000000001,False
NJ/NY Gotham FC,NJY,2017,2017-05-20 20:00:00 UTC,2,1,1.7328000000000001,1.163,False
Orlando Pride,ORL,2018,2018-08-05 23:30:00 UTC,2,2,3.7271,1.5094,False
NJ/NY Gotham FC,NJY,2018,2018-08-05 23:30:00 UTC,2,2,1.5094,3.7271,False
Houston Dash,HOU,2018,2018-05-10 00:00:00 UTC,1,1,0.4534,0.8948,False
Portland Thorns FC,POR,2018,2018-05-10 00:00:00 UTC,1,1,0.8948,0.4534,False
Houston Dash,HOU,2018,2018-07-12 00:30:00 UTC,3,1,2.0608,2.4154,False
Orlando Pride,ORL,2018,2018-07-12 00:30:00 UTC,1,3,2.4154,2.0608,False
OL Reign,RGN,2022,2022-03-26 20:00:00 UTC,3,1,1.9119000000000002,0.8826,False
Angel City FC,LA,2022,2022-03-26 20:00:00 UTC,1,3,0.8826,1.9119000000000002,False
Orlando Pride,ORL,2022,2022-04-03 20:00:00 UTC,1,4,0.8157000000000001,2.7497,False
Washington Spirit,WAS,2022,2022-04-03 20:00:00 UTC,4,1,2.7497,0.8157000000000001,False
Houston Dash,HOU,2022,2022-10-01 23:00:00 UTC,1,1,1.3443,1.5373,False
Washington Spirit,WAS,2022,2022-10-01 23:00:00 UTC,1,1,1.5373,1.3443,False
Portland Thorns FC,POR,2022,2022-09-22 02:00:00 UTC,3,0,2.9951,0.3014,False
Racing Louisville FC,LOU,2022,2022-09-22 02:00:00 UTC,0,3,0.3014,2.9951,False
San Diego Wave FC,SD,2022,2022-05-15 21:00:00 UTC,2,1,2.6115,0.45270000000000005,False
Chicago Red Stars,CHI,2022,2022-05-15 21:00:00 UTC,1,2,0.45270000000000005,2.6115,False
Orlando Pride,ORL,2022,2022-05-27 23:00:00 UTC,2,2,0.673,1.0673,False
Washington Spirit,WAS,2022,2022-05-27 23:00:00 UTC,2,2,1.0673,0.673,False
Kansas City Current,KC,2022,2022-07-17 23:00:00 UTC,1,0,2.325,1.4377,False
