date,time,home,away,local_std_time,day,avg_temp
2024-09-22,13:00:00,NJNY,UTA,12:00:00,09-22,75.0
2024-09-23,22:00:00,LA,POR,18:00:00,09-23,68.2
2024-09-27,22:00:00,LA,WAS,18:00:00,09-27,68.2
2024-09-28,13:00:00,KCC,NJNY,11:00:00,09-28,71.4
2024-09-28,19:00:00,UTA,LOU,16:00:00,09-28,69.8
2024-09-28,19:30:00,ORL,HOU,18:30:00,09-28,76.8
2024-09-28,22:00:00,SD,POR,18:00:00,09-28,69.8
2024-09-29,18:00:00,RGN,BFC,14:00:00,09-29,62.4
2024-09-29,18:00:00,CHI,NC,16:00:00,09-29,67.2
2024-10-04,20:00:00,HOU,CHI,18:00:00,10-04,83.2
2024-10-04,22:00:00,RGN,LA,18:00:00,10-04,59.6
2024-10-05,19:00:00,NC,SD,18:00:00,10-05,68.8
2024-10-05,19:30:00,LOU,KCC,18:30:00,10-05,70.2
2024-10-05,19:30:00,NJNY,BFC,18:30:00,10-05,62.4
2024-10-05,22:00:00,POR,UTA,18:00:00,10-05,65.2
2024-10-06,17:00:00,ORL,WAS,16:00:00,10-06,86.6
2024-10-11,22:00:00,POR,ORL,18:00:00,10-11,60.2
2024-10-12,16:00:00,CHI,NJNY,14:00:00,10-12,56.6
2024-10-12,19:30:00,NC,LA,18:30:00,10-12,69.0
2024-10-12,22:00:00,BFC,KCC,18:00:00,10-12,67.4
2024-10-13,17:00:00,UTA,RGN,14:00:00,10-13,65.0
2024-10-13,17:00:00,WAS,LOU,16:00:00,10-13,69.2
2024-10-13,20:00:00,SD,HOU,16:00:00,10-13,73.6
2024-10-18,22:00:00,RGN,HOU,18:00:00,10-18,57.8
2024-10-19,13:00:00,KCC,SD,11:00:00,10-19,55.8
2024-10-19,19:30:00,LOU,POR,18:30:00,10-19,62.2
2024-10-19,22:00:00,BFC,NC,18:00:00,10-19,71.0
2024-10-20,17:00:00,NJNY,ORL,16:00:00,10-20,65.2
2024-10-20,17:00:00,WAS,CHI,16:00:00,10-20,66.4
2024-10-20,19:30:00,LA,UTA,15:30:00,10-20,71.8
2024-11-01,21:30:00,UTA,NJNY,18:30:00,11-01,49.6
2024-11-01,22:00:00,POR,LA,18:00:00,11-01,50.4
2024-11-02,17:00:00,ORL,RGN,16:00:00,11-02,80.2
2024-11-02,19:30:00,NC,WAS,18:30:00,11-02,49.4
2024-11-02,21:30:00,HOU,BFC,19:30:00,11-02,64.6
2024-11-03,15:00:00,CHI,KCC,13:00:00,11-03,58.2
2024-11-03,17:30:00,SD,LOU,13:30:00,11-03,70.0
