p1,p2,minutes
Mallory Swanson,Sam Coffey,100
Mallory Swanson,Alyssa Thompson,0
Mallory Swanson,Julie Ertz,0
Carli Lloyd,Adriana Franch,117
Carli Lloyd,Crystal Dunn,63
Carli Lloyd,Tierna Davidson,183
Carli Lloyd,Becky Sauerbrunn,128
Carli Lloyd,Kelley O'Hara,146
Carli Lloyd,Kristie Mewis,106
Carli Lloyd,Andi Sullivan,185
Carli Lloyd,Rose Lavelle,106
Carli Lloyd,Mallory Swanson,141
Carli Lloyd,Carli Lloyd,212
Carli Lloyd,Lynn Williams,103
Carli Lloyd,Catarina Macario,115
Carli Lloyd,Abby Dahlkemper,113
Carli Lloyd,Alex Morgan,31
Carli Lloyd,Tobin Heath,36
Carli Lloyd,Sophia Smith,133
Carli Lloyd,Emily Sonnett,122
Carli Lloyd,Jane Campbell,95
Carli Lloyd,Casey Krueger,5
Carli Lloyd,Lindsey Horan,93
Carli Lloyd,Megan Rapinoe,11
Carli Lloyd,Emily Fox,88
Carli Lloyd,Casey Murphy,0
Carli Lloyd,Alana Cook,0
Carli Lloyd,Ashley Hatch,0
Carli Lloyd,Midge Purce,0
Carli Lloyd,Bethany Balcer,0
Carli Lloyd,Sofia Huerta,0
Carli Lloyd,Ashley Sanchez,0
Carli Lloyd,Morgan Weaver,0
Carli Lloyd,Imani Dorsey,0
Carli Lloyd,Morgan Gautrat,0
Carli Lloyd,Trinity Rodman,0
Carli Lloyd,Alyssa Naeher,0
Carli Lloyd,Jaelin Howell,0
Carli Lloyd,Aubrey Kingsbury,0
Carli Lloyd,Naomi Girma,0
Carli Lloyd,Sam Mewis,0
Carli Lloyd,Taylor Kornieck,0
Carli Lloyd,Carson Pickett,0
Carli Lloyd,Hailie Mace,0
Carli Lloyd,Sam Coffey,0
Carli Lloyd,Alyssa Thompson,0
Carli Lloyd,Julie Ertz,0
Lynn Williams,Adriana Franch,74
Lynn Williams,Crystal Dunn,63
Lynn Williams,Tierna Davidson,293
Lynn Williams,Becky Sauerbrunn,188
Lynn Williams,Kelley O'Hara,113
Lynn Williams,Kristie Mewis,259
Lynn Williams,Andi Sullivan,337
Lynn Williams,Rose Lavelle,290
Lynn Williams,Mallory Swanson,195
Lynn Williams,Carli Lloyd,103
Lynn Williams,Lynn Williams,498
Lynn Williams,Catarina Macario,44
Lynn Williams,Abby Dahlkemper,50
Lynn Williams,Alex Morgan,142
Lynn Williams,Tobin Heath,39
Lynn Williams,Sophia Smith,24
Lynn Williams,Emily Sonnett,235
Lynn Williams,Jane Campbell,48
Lynn Williams,Casey Krueger,0
Lynn Williams,Lindsey Horan,311
Lynn Williams,Megan Rapinoe,38
Lynn Williams,Emily Fox,353
Lynn Williams,Casey Murphy,268
Lynn Williams,Alana Cook,343
Lynn Williams,Ashley Hatch,210
Lynn Williams,Midge Purce,198
Lynn Williams,Bethany Balcer,6
Lynn Williams,Sofia Huerta,260
Lynn Williams,Ashley Sanchez,134
Lynn Williams,Morgan Weaver,21
Lynn Williams,Imani Dorsey,4
Lynn Williams,Morgan Gautrat,0
Lynn Williams,Trinity Rodman,57
Lynn Williams,Alyssa Naeher,108
Lynn Williams,Jaelin Howell,39
Lynn Williams,Aubrey Kingsbury,0
Lynn Williams,Naomi Girma,94
Lynn Williams,Sam Mewis,0
Lynn Williams,Taylor Kornieck,39
Lynn Williams,Carson Pickett,0
Lynn Williams,Hailie Mace,0
Lynn Williams,Sam Coffey,0
Lynn Williams,Alyssa Thompson,0
Lynn Williams,Julie Ertz,0
Catarina Macario,Adriana Franch,77
Catarina Macario,Crystal Dunn,4
Catarina Macario,Tierna Davidson,345
Catarina Macario,Becky Sauerbrunn,152
Catarina Macario,Kelley O'Hara,346
Catarina Macario,Kristie Mewis,206
Catarina Macario,Andi Sullivan,506
Catarina Macario,Rose Lavelle,296
Catarina Macario,Mallory Swanson,364
Catarina Macario,Carli Lloyd,115
Catarina Macario,Lynn Williams,44
Catarina Macario,Catarina Macario,568
Catarina Macario,Abby Dahlkemper,233
Catarina Macario,Alex Morgan,138
Catarina Macario,Tobin Heath,82
Catarina Macario,Sophia Smith,473
Catarina Macario,Emily Sonnett,216
Catarina Macario,Jane Campbell,145
Catarina Macario,Casey Krueger,107
Catarina Macario,Lindsey Horan,147
Catarina Macario,Megan Rapinoe,46
Catarina Macario,Emily Fox,349
Catarina Macario,Casey Murphy,170
Catarina Macario,Alana Cook,338
Catarina Macario,Ashley Hatch,0
Catarina Macario,Midge Purce,75
Catarina Macario,Bethany Balcer,0
Catarina Macario,Sofia Huerta,114
Catarina Macario,Ashley Sanchez,212
Catarina Macario,Morgan Weaver,0
Catarina Macario,Imani Dorsey,0
Catarina Macario,Morgan Gautrat,46
Catarina Macario,Trinity Rodman,52
Catarina Macario,Alyssa Naeher,108
Catarina Macario,Jaelin Howell,16
Catarina Macario,Aubrey Kingsbury,68
Catarina Macario,Naomi Girma,68
Catarina Macario,Sam Mewis,22
Catarina Macario,Taylor Kornieck,0
Catarina Macario,Carson Pickett,0
Catarina Macario,Hailie Mace,0
Catarina Macario,Sam Coffey,0
Catarina Macario,Alyssa Thompson,0
Catarina Macario,Julie Ertz,0
Abby Dahlkemper,Adriana Franch,18
Abby Dahlkemper,Crystal Dunn,0
Abby Dahlkemper,Tierna Davidson,150
Abby Dahlkemper,Becky Sauerbrunn,48
Abby Dahlkemper,Kelley O'Hara,167
Abby Dahlkemper,Kristie Mewis,64
Abby Dahlkemper,Andi Sullivan,255
Abby Dahlkemper,Rose Lavelle,173
Abby Dahlkemper,Mallory Swanson,206
Abby Dahlkemper,Carli Lloyd,113
Abby Dahlkemper,Lynn Williams,50
Abby Dahlkemper,Catarina Macario,233
Abby Dahlkemper,Abby Dahlkemper,318
Abby Dahlkemper,Alex Morgan,103
Abby Dahlkemper,Tobin Heath,55
Abby Dahlkemper,Sophia Smith,229
Abby Dahlkemper,Emily Sonnett,198
Abby Dahlkemper,Jane Campbell,180
Abby Dahlkemper,Casey Krueger,61
Abby Dahlkemper,Lindsey Horan,136
Abby Dahlkemper,Megan Rapinoe,35
Abby Dahlkemper,Emily Fox,158
Abby Dahlkemper,Casey Murphy,0
Abby Dahlkemper,Alana Cook,90
Abby Dahlkemper,Ashley Hatch,50
Abby Dahlkemper,Midge Purce,50
Abby Dahlkemper,Bethany Balcer,0
Abby Dahlkemper,Sofia Huerta,52
Abby Dahlkemper,Ashley Sanchez,52
Abby Dahlkemper,Morgan Weaver,0
Abby Dahlkemper,Imani Dorsey,0
Abby Dahlkemper,Morgan Gautrat,0
Abby Dahlkemper,Trinity Rodman,30
Abby Dahlkemper,Alyssa Naeher,90
Abby Dahlkemper,Jaelin Howell,44
Abby Dahlkemper,Aubrey Kingsbury,30
Abby Dahlkemper,Naomi Girma,30
Abby Dahlkemper,Sam Mewis,30
Abby Dahlkemper,Taylor Kornieck,0
Abby Dahlkemper,Carson Pickett,0
Abby Dahlkemper,Hailie Mace,0
Abby Dahlkemper,Sam Coffey,0
Abby Dahlkemper,Alyssa Thompson,0
Abby Dahlkemper,Julie Ertz,0
Alex Morgan,Adriana Franch,94
Alex Morgan,Crystal Dunn,251
Alex Morgan,Tierna Davidson,177
Alex Morgan,Becky Sauerbrunn,969
Alex Morgan,Kelley O'Hara,286
Alex Morgan,Kristie Mewis,178
Alex Morgan,Andi Sullivan,977
Alex Morgan,Rose Lavelle,977
Alex Morgan,Mallory Swanson,959
Alex Morgan,Carli Lloyd,31
Alex Morgan,Lynn Williams,142
Alex Morgan,Catarina Macario,138
Alex Morgan,Abby Dahlkemper,103
Alex Morgan,Alex Morgan,1382
Alex Morgan,Tobin Heath,81
Alex Morgan,Sophia Smith,835
Alex Morgan,Emily Sonnett,413
Alex Morgan,Jane Campbell,85
Alex Morgan,Casey Krueger,124
Alex Morgan,Lindsey Horan,1141
Alex Morgan,Megan Rapinoe,254
Alex Morgan,Emily Fox,913
Alex Morgan,Casey Murphy,591
Alex Morgan,Alana Cook,748
Alex Morgan,Ashley Hatch,0
Alex Morgan,Midge Purce,222
Alex Morgan,Bethany Balcer,0
Alex Morgan,Sofia Huerta,777
Alex Morgan,Ashley Sanchez,479
Alex Morgan,Morgan Weaver,0
Alex Morgan,Imani Dorsey,0
Alex Morgan,Morgan Gautrat,0
Alex Morgan,Trinity Rodman,244
Alex Morgan,Alyssa Naeher,612
Alex Morgan,Jaelin Howell,0
Alex Morgan,Aubrey Kingsbury,0
Alex Morgan,Naomi Girma,696
Alex Morgan,Sam Mewis,0
Alex Morgan,Taylor Kornieck,99
Alex Morgan,Carson Pickett,71
Alex Morgan,Hailie Mace,0
Alex Morgan,Sam Coffey,107
Alex Morgan,Alyssa Thompson,46
Alex Morgan,Julie Ertz,0
Tobin Heath,Adriana Franch,62
Tobin Heath,Crystal Dunn,0
Tobin Heath,Tierna Davidson,62
Tobin Heath,Becky Sauerbrunn,85
Tobin Heath,Kelley O'Hara,82
Tobin Heath,Kristie Mewis,20
Tobin Heath,Andi Sullivan,36
Tobin Heath,Rose Lavelle,65
Tobin Heath,Mallory Swanson,0
Tobin Heath,Carli Lloyd,36
Tobin Heath,Lynn Williams,39
Tobin Heath,Catarina Macario,82
Tobin Heath,Abby Dahlkemper,55
Tobin Heath,Alex Morgan,81
Tobin Heath,Tobin Heath,101
Tobin Heath,Sophia Smith,16
Tobin Heath,Emily Sonnett,55
Tobin Heath,Jane Campbell,39
Tobin Heath,Casey Krueger,46
Tobin Heath,Lindsey Horan,65
Tobin Heath,Megan Rapinoe,65
Tobin Heath,Emily Fox,19
Tobin Heath,Casey Murphy,0
Tobin Heath,Alana Cook,0
Tobin Heath,Ashley Hatch,0
Tobin Heath,Midge Purce,0
Tobin Heath,Bethany Balcer,0
Tobin Heath,Sofia Huerta,0
Tobin Heath,Ashley Sanchez,0
Tobin Heath,Morgan Weaver,0
Tobin Heath,Imani Dorsey,0
Tobin Heath,Morgan Gautrat,0
Tobin Heath,Trinity Rodman,0
Tobin Heath,Alyssa Naeher,0
Tobin Heath,Jaelin Howell,0
Tobin Heath,Aubrey Kingsbury,0
Tobin Heath,Naomi Girma,0
Tobin Heath,Sam Mewis,0
Tobin Heath,Taylor Kornieck,0
Tobin Heath,Carson Pickett,0
Tobin Heath,Hailie Mace,0
Tobin Heath,Sam Coffey,0
Tobin Heath,Alyssa Thompson,0
Tobin Heath,Julie Ertz,0
Sophia Smith,Adriana Franch,75
Sophia Smith,Crystal Dunn,136
Sophia Smith,Tierna Davidson,365
Sophia Smith,Becky Sauerbrunn,850
Sophia Smith,Kelley O'Hara,511
Sophia Smith,Kristie Mewis,224
Sophia Smith,Andi Sullivan,1273
Sophia Smith,Rose Lavelle,1158
Sophia Smith,Mallory Swanson,1065
Sophia Smith,Carli Lloyd,133
Sophia Smith,Lynn Williams,24
Sophia Smith,Catarina Macario,473
Sophia Smith,Abby Dahlkemper,229
Sophia Smith,Alex Morgan,835
Sophia Smith,Tobin Heath,16
Sophia Smith,Sophia Smith,1555
Sophia Smith,Emily Sonnett,350
Sophia Smith,Jane Campbell,141
Sophia Smith,Casey Krueger,83
Sophia Smith,Lindsey Horan,1120
Sophia Smith,Megan Rapinoe,195
Sophia Smith,Emily Fox,1051
Sophia Smith,Casey Murphy,695
Sophia Smith,Alana Cook,1071
Sophia Smith,Ashley Hatch,159
Sophia Smith,Midge Purce,109
Sophia Smith,Bethany Balcer,0
Sophia Smith,Sofia Huerta,787
Sophia Smith,Ashley Sanchez,455
Sophia Smith,Morgan Weaver,0
Sophia Smith,Imani Dorsey,0
Sophia Smith,Morgan Gautrat,46
Sophia Smith,Trinity Rodman,196
Sophia Smith,Alyssa Naeher,576
Sophia Smith,Jaelin Howell,16
Sophia Smith,Aubrey Kingsbury,68
Sophia Smith,Naomi Girma,595
Sophia Smith,Sam Mewis,22
Sophia Smith,Taylor Kornieck,33
Sophia Smith,Carson Pickett,62
