p1,p2,combos,p1g,p1a,p2g,p2a,p1g_p2a,p2g_p1a,goals
Marta,Taylor Kornieck,1,27,14,8,7,0,1,35
Midge Purce,McCall Zerboni,1,25,9,10,6,1,0,35
Carli Lloyd,Paige Monaghan,1,25,6,10,3,0,1,35
Crystal Dunn,Simone Charley,1,24,18,11,3,0,1,35
Kristie Mewis,Nahomi Kawasumi,1,22,19,13,21,1,0,35
Christen Press,Michelle Maemone,1,34,9,0,1,1,0,34
Christen Press,Megan Reid,1,34,9,0,1,1,0,34
Megan Rapinoe,Christen Westphal,1,33,15,1,6,1,0,34
Megan Rapinoe,Steph Catley,1,33,15,1,8,1,0,34
Lindsey Horan,Angela Salem,1,31,14,3,1,1,0,34
Mallory Pugh,Bayley Feist,1,31,15,3,3,1,0,34
Kealia Ohai Watt,Amber Brooks,1,27,16,7,2,1,0,34
Yuki Nagasato,CeCe Kizer,1,19,23,15,5,0,1,34
Sofia Huerta,Shirley Iveth Cruz,1,31,26,2,4,1,0,33
Mallory Pugh,Sarah Luebbert,1,31,15,2,3,1,0,33
Kristen Hamilton,Claire Marie Annie Lavogez,1,31,12,2,1,0,1,33
Kristen Hamilton,Julia Spetsmark,1,31,12,2,1,0,1,33
Shea Groom,Becky Sauerbrunn,1,29,18,4,3,1,0,33
Kealia Ohai Watt,Morgan Gautrat,1,27,16,6,4,1,0,33
Sophia Smith,Hina Sugita,1,26,4,7,4,1,0,33
Midge Purce,Rosie White,1,25,9,8,3,1,0,33
Sam Mewis,Makenzy Doniak,1,22,12,11,10,0,1,33
Sofia Huerta,Angelina,1,31,26,1,3,1,0,32
Sofia Huerta,Cara Walls,1,31,26,1,0,0,1,32
Mallory Pugh,Samantha Fisher,1,31,15,1,1,1,0,32
Mallory Pugh,Megan Crosson,1,31,15,1,0,0,1,32
Kristen Hamilton,Kate Del Fava,1,31,12,1,2,1,0,32
Kristen Hamilton,Addie McCain,1,31,12,1,1,1,0,32
Kristen Hamilton,Carson Pickett,1,31,12,1,16,1,0,32
Bethany Balcer,Leah Pruitt,1,27,4,5,3,0,1,32
Kealia Ohai Watt,Poliana,1,27,16,5,2,0,1,32
Midge Purce,Tyler Lussi,1,25,9,7,4,1,0,32
Sydney Leroux,Taylor Kornieck,1,24,7,8,7,1,0,32
Sydney Leroux,Alanna Stephanie Kennedy,1,24,7,8,2,1,0,32
Sam Mewis,Abby Erceg,1,22,12,10,5,0,1,32
Jodie Taylor,Nahomi Kawasumi,1,19,5,13,21,1,0,32
Mallory Pugh,Zoe Morse,1,31,15,0,1,1,0,31
Mallory Pugh,Lindsay Agnew,1,31,15,0,2,1,0,31
Shea Groom,Kate Bowen,1,29,18,2,5,0,1,31
Shea Groom,Michelle Alozie,1,29,18,2,0,0,1,31
Bethany Balcer,Kristen McNabb,1,27,4,4,1,1,0,31
Bethany Balcer,Celia,1,27,4,4,2,1,0,31
Midge Purce,Imani Dorsey,1,25,9,6,4,1,0,31
Carli Lloyd,Jen Hoy,1,25,6,6,3,1,0,31
Amy Rodriguez,Kelley O'Hara,1,24,2,7,10,0,1,31
Amy Rodriguez,Diana Matheson,1,24,2,7,1,0,1,31
Jessica Fishlock,Merritt Mathias,1,23,16,8,13,0,1,31
Jodie Taylor,Katie Johnson,1,19,5,12,11,1,0,31
Jodie Taylor,Allie Long,1,19,5,12,6,1,0,31
Savannah McCaskill,Rocky Rodriguez,1,16,11,15,8,0,1,31
Shea Groom,Christina Gibbons,1,29,18,1,3,1,0,30
Sophia Smith,Marissa Everett,1,26,4,4,0,0,1,30
Sophia Smith,Becky Sauerbrunn,1,26,4,4,3,1,0,30
Carli Lloyd,Poliana,1,25,6,5,2,1,0,30
Nadia Nadim,Dagný Brynjarsdóttir,1,24,8,6,2,0,1,30
Sydney Leroux,Christine Nairn,1,24,7,6,14,1,0,30
Crystal Dunn,Christine Nairn,1,24,18,6,14,1,0,30
Jessica Fishlock,Manon Melis,1,23,16,7,1,0,1,30
Yuki Nagasato,Vanessa DiBernardo,1,19,23,11,18,1,0,30
CeCe Kizer,Ebony Salmon,1,15,5,15,2,0,1,30
Bethany Balcer,Shirley Iveth Cruz,1,27,4,2,4,1,0,29
Bethany Balcer,Ally Watt,1,27,4,2,1,1,0,29
Kealia Ohai Watt,Arin Wright,1,27,16,2,12,1,0,29
Sophia Smith,Yazmeen Ryan,1,26,4,3,5,1,0,29
Carli Lloyd,Elizabeth Eddy,1,25,6,4,4,1,0,29
Carli Lloyd,Denise O'Sullivan,1,25,6,4,12,1,0,29
Carli Lloyd,Andressinha,1,25,6,4,4,1,0,29
Sydney Leroux,Maegan Rosa,1,24,7,5,1,1,0,29
Jessica Fishlock,Christine Nairn,1,23,16,6,14,1,0,29
Jessica Fishlock,Kim Little,1,23,16,6,3,0,1,29
Jodie Taylor,Beverly Yanez,1,19,5,10,4,0,1,29
Rocky Rodriguez,Sarah Woldmoe,1,15,8,14,9,1,0,29
Ebony Salmon,Nichelle Prince,1,15,2,14,10,1,0,29
CeCe Kizer,Lo’eau LaBonta,1,15,5,14,11,1,0,29
Bethany Balcer,Olivia Van der Jagt,1,27,4,1,1,1,0,28
Marta,Ally Haran,1,27,14,1,0,0,1,28
Marta,Courtney Petersen,1,27,14,1,4,0,1,28
Bethany Balcer,Theresa Eslund,1,27,4,1,3,1,0,28
Kealia Ohai Watt,Linda Motlhalo,1,27,16,1,1,1,0,28
Sydney Leroux,Becky Sauerbrunn,1,24,7,4,3,1,0,28
Savannah McCaskill,Katie Johnson,1,16,11,12,11,1,0,28
Bethany Balcer,Stephanie Cox,1,27,4,0,1,1,0,27
Bethany Balcer,Nicole Momiki,1,27,4,0,1,1,0,27
Kealia Ohai Watt,Jane Campbell,1,27,16,0,1,1,0,27
Kealia Ohai Watt,Ariana Calderón,1,27,16,0,1,1,0,27
Sophia Smith,Kelli Hubly,1,26,4,1,0,0,1,27
Midge Purce,Évelyne Viens,1,25,9,2,3,1,0,27
Carli Lloyd,Estelle Johnson,1,25,6,2,1,1,0,27
Nadia Nadim,Kirsten Davis,1,24,8,3,1,1,0,27
Kristie Mewis,Katie Naughton,1,22,19,5,0,0,1,27
Rocky Rodriguez,Katie Johnson,1,15,8,12,11,0,1,27
Sophia Smith,Natalie Beckman,1,26,4,0,1,1,0,26
Carli Lloyd,Caprice Dydasco,1,25,6,1,7,1,0,26
Sydney Leroux,Alexa Newfield,1,24,7,2,2,0,1,26
Amy Rodriguez,Victoria Pickett,1,24,2,2,2,1,0,26
Amy Rodriguez,Rachel Corsie,1,24,2,2,2,1,0,26
Amy Rodriguez,Kate Bowen,1,24,2,2,5,1,0,26
Crystal Dunn,Ali Krieger,1,24,18,2,8,1,0,26
Kristie Mewis,Danielle Colaprico,1,22,19,4,11,1,0,26
Yuki Nagasato,Alyssa Mautz,1,19,23,7,5,1,0,26
Rocky Rodriguez,Morgan Weaver,1,15,8,11,7,0,1,26
Sarah Woldmoe,Katie Johnson,1,14,9,12,11,0,1,26
Tobin Heath,Hayley Raso,1,13,21,13,7,1,0,26
Midge Purce,Celeste Boureille,1,25,9,0,2,1,0,25
Midge Purce,Jennifer Cudjoe,1,25,9,0,1,1,0,25
Nadia Nadim,Meg Morris,1,24,8,1,1,1,0,25
Sydney Leroux,Shelina Zadorsky,1,24,7,1,4,1,0,25
Crystal Dunn,Megan Montefusco,1,24,18,1,4,1,0,25
Rachel Hill,Alanna Stephanie Kennedy,1,17,3,8,2,0,1,25
Rocky Rodriguez,Paige Monaghan,1,15,8,10,3,1,0,25
Lo’eau LaBonta,Darian Jenkins,1,14,11,11,3,0,1,25
Nahomi Kawasumi,Katie Johnson,1,13,21,12,11,0,1,25
Hayley Raso,Allie Long,1,13,7,12,6,0,1,25
Nadia Nadim,Meleana Shim,1,24,8,0,1,1,0,24
Sydney Leroux,Chelsee Washington,1,24,7,0,2,1,0,24
Sydney Leroux,Abby Elinsky,1,24,7,0,1,1,0,24
Amy Rodriguez,Ryan Williams,1,24,2,0,6,1,0,24
Amy Rodriguez,Jéssica Silva,1,24,2,0,2,1,0,24
Amy Rodriguez,Abby Smith,1,24,2,0,1,1,0,24
Crystal Dunn,Meghan Klingenberg,1,24,18,0,21,1,0,24
Jessica Fishlock,Larissa Crummer,1,23,16,1,0,0,1,24
Jessica Fishlock,Megan Montefusco,1,23,16,1,4,1,0,24
Jessica Fishlock,Theresa Eslund,1,23,16,1,3,0,1,24
Chioma Ubogagu,Kristen Edmonds,1,13,7,11,3,0,1,24
Jessica Fishlock,Elizabeth Addo,1,23,16,0,1,1,0,23
Kristie Mewis,Haley Hanson,1,22,19,1,3,1,0,23
Kristie Mewis,Whitney Church,1,22,19,1,2,1,0,23
Kristie Mewis,Whitney Engen,1,22,19,1,1,0,1,23
Yuki Nagasato,Ella Stevens,1,19,23,4,2,0,1,23
Ifeoma Onumonu,Adriana Leon,1,17,11,6,6,0,1,23
Ifeoma Onumonu,Taylor Smith,1,17,11,6,7,0,1,23
Rocky Rodriguez,Maya Hayes,1,15,8,8,4,0,1,23
CeCe Kizer,Hailie Mace,1,15,5,8,8,0,1,23
Veronica Latsko,Rose Lavelle,1,12,6,11,5,1,0,23
Katie Johnson,Makenzy Doniak,1,12,11,11,10,0,1,23
Jodie Taylor,Rumi Utsugi,1,19,5,3,3,1,0,22
Nichelle Prince,Sophie Schmidt,1,14,10,8,5,1,0,22
Lo’eau LaBonta,Hailie Mace,1,14,11,8,8,0,1,22
Allie Long,Jasmyne Spencer,1,12,6,10,6,0,1,22
Cheyna Lee Matthews,Francisca Ordega,1,12,3,10,4,0,1,22
Yuki Nagasato,Ava Cook,1,19,23,2,3,0,1,21
Jodie Taylor,Ali Krieger,1,19,5,2,8,1,0,21
Nichelle Prince,Amber Brooks,1,14,10,7,2,1,0,21
Nichelle Prince,Marisa Viggiano,1,14,10,7,2,1,0,21
Sarah Woldmoe,Kelley O'Hara,1,14,9,7,10,1,0,21
Rose Lavelle,Natasha Dowie,1,11,5,10,2,0,1,21
Simone Charley,Jasmyne Spencer,1,11,3,10,6,1,0,21
Makenzy Doniak,McCall Zerboni,1,11,10,10,6,0,1,21
Yuki Nagasato,Zoey Goralski,1,19,23,1,1,1,0,20
Jodie Taylor,Steph Catley,1,19,5,1,8,1,0,20
Jodie Taylor,Courtney Petersen,1,19,5,1,4,1,0,20
Rachel Hill,Claire Emslie,1,17,3,3,1,1,0,20
Rocky Rodriguez,Leah Galton,1,15,8,5,5,1,0,20
Sarah Woldmoe,Jen Hoy,1,14,9,6,3,0,1,20
Sarah Woldmoe,Morgan Gautrat,1,14,9,6,4,1,0,20
Chioma Ubogagu,Marisa Viggiano,1,13,7,7,2,0,1,20
Veronica Latsko,Sophie Schmidt,1,12,6,8,5,1,0,20
Diana Ordóñez,Merritt Mathias,1,12,1,8,13,1,0,20
Katie Johnson,Merritt Mathias,1,12,11,8,13,1,0,20
Katie Stengel,Rosie White,1,12,5,8,3,0,1,20
Katie Stengel,Sophie Schmidt,1,12,5,8,5,0,1,20
Rachel Hill,Arin Wright,1,17,3,2,12,1,0,19
Rachel Hill,Ava Cook,1,17,3,2,3,1,0,19
Rachel Hill,Danica Evans,1,17,3,2,1,1,0,19
Ifeoma Onumonu,Évelyne Viens,1,17,11,2,3,0,1,19
Savannah McCaskill,Claire Emslie,1,16,11,3,1,0,1,19
CeCe Kizer,Emina Ekic,1,15,5,4,2,1,0,19
Nichelle Prince,Janine Beckie,1,14,10,5,5,0,1,19
Sarah Woldmoe,Madison Tiernan,1,14,9,5,2,1,0,19
Lo’eau LaBonta,Maegan Rosa,1,14,11,5,1,0,1,19
Nahomi Kawasumi,Taylor Smith,1,13,21,6,7,0,1,19
Tobin Heath,Ana-Maria Crnogorcevic,1,13,21,6,4,1,0,19
Allie Long,Tyler Lussi,1,12,6,7,4,1,0,19
Cheyna Lee Matthews,Havana Solaun,1,12,3,7,5,1,0,19
Rose Lavelle,Eugénie Le Sommer,1,11,5,8,3,0,1,19
Vanessa DiBernardo,Casey Krueger,1,11,18,8,6,0,1,19
Kristen Edmonds,Hailie Mace,1,11,3,8,8,0,1,19
Rachel Hill,Steph Catley,1,17,3,1,8,1,0,18
Trinity Rodman,Tori Huster,1,16,12,2,6,1,0,18
Savannah McCaskill,Ali Riley,1,16,11,2,3,1,0,18
Savannah McCaskill,Sarah Luebbert,1,16,11,2,3,1,0,18
Rocky Rodriguez,Yazmeen Ryan,1,15,8,3,5,1,0,18
Rocky Rodriguez,Angela Salem,1,15,8,3,1,0,1,18
CeCe Kizer,Elyse Bennett,1,15,5,3,6,1,0,18
Nichelle Prince,Maria Sánchez,1,14,10,4,7,1,0,18
Lo’eau LaBonta,Jennifer Vasconcelos,1,14,11,4,3,0,1,18
Katie Stengel,Erika Tymrak,1,12,5,6,8,1,0,18
Rose Lavelle,Andi Sullivan,1,11,5,7,6,0,1,18
Simone Charley,Tyler Lussi,1,11,3,7,4,0,1,18
Darian Jenkins,Gunny Jónsdóttir,1,11,3,7,8,0,1,18
Natasha Dowie,Rosie White,1,10,2,8,3,0,1,18
Beverly Yanez,Merritt Mathias,1,10,4,8,13,0,1,18
Jasmyne Spencer,Rosie White,1,10,6,8,3,0,1,18
Beverly Yanez,Rosie White,1,10,4,8,3,1,0,18
Ifeoma Onumonu,Delanie Sheehan,1,17,11,0,2,1,0,17
CeCe Kizer,Claire Marie Annie Lavogez,1,15,5,2,1,1,0,17
Chioma Ubogagu,Denise O'Sullivan,1,13,7,4,12,0,1,17
Rose Lavelle,Adriana Leon,1,11,5,6,6,1,0,17
Vanessa DiBernardo,Jen Hoy,1,11,18,6,3,0,1,17
Darian Jenkins,Erika Tymrak,1,11,3,6,8,1,0,17
Beverly Yanez,Manon Melis,1,10,4,7,1,0,1,17
Beverly Yanez,Havana Solaun,1,10,4,7,5,0,1,17
Francisca Ordega,Estefanía Banini,1,10,4,7,1,0,1,17
Trinity Rodman,Audrey Harding,1,16,12,0,1,1,0,16
Trinity Rodman,Natalie Ann Jacobs,1,16,12,0,5,1,0,16
Ebony Salmon,Katie McClure,1,15,2,1,1,0,1,16
CeCe Kizer,Katie McClure,1,15,5,1,1,1,0,16
CeCe Kizer,Jorian Baucom,1,15,5,1,0,0,1,16
Nahomi Kawasumi,Rumi Utsugi,1,13,21,3,3,1,0,16
Diana Ordóñez,Meredith Speck,1,12,1,4,7,1,0,16
Katie Johnson,Kristen McNabb,1,12,11,4,1,0,1,16
Cheyna Lee Matthews,Sam Staab,1,12,3,4,4,0,1,16
Darian Jenkins,Leah Pruitt,1,11,3,5,3,1,0,16
Kristen Edmonds,Lianne Sanderson,1,11,3,5,1,1,0,16
Paige Monaghan,Taylor Smith,1,10,3,6,7,1,0,16
Beverly Yanez,Kim Little,1,10,4,6,3,0,1,16
Francisca Ordega,Christine Nairn,1,10,4,6,14,1,0,16
Merritt Mathias,Hailie Mace,1,8,13,8,8,1,0,16
Rocky Rodriguez,Meghan Klingenberg,1,15,8,0,21,1,0,15
Rocky Rodriguez,Mandy Freeman,1,15,8,0,1,1,0,15
Ebony Salmon,Ryan Gareis,1,15,2,0,2,1,0,15
CeCe Kizer,Erin Simon,1,15,5,0,3,1,0,15
Nichelle Prince,Megan Montefusco,1,14,10,1,4,1,0,15
Sarah Woldmoe,Taylor Lytle,1,14,9,1,9,0,1,15
Lo’eau LaBonta,Kate Del Fava,1,14,11,1,2,1,0,15
Chioma Ubogagu,Danica Evans,1,13,7,2,1,0,1,15
Chioma Ubogagu,Ali Krieger,1,13,7,2,8,1,0,15
Katie Johnson,Jaedyn Reese Shaw,1,12,11,3,0,0,1,15
Cheyna Lee Matthews,Bayley Feist,1,12,3,3,3,0,1,15
Katie Johnson,Rumi Utsugi,1,12,11,3,3,1,0,15
Morgan Weaver,Marissa Everett,1,11,7,4,0,0,1,15
Ashley Sanchez,Tara McKeown,1,11,7,4,4,0,1,15
Ashley Sanchez,Sam Staab,1,11,7,4,4,0,1,15
Vanessa DiBernardo,Danielle Colaprico,1,11,18,4,11,0,1,15
Kristen Edmonds,Sarah Hagen,1,11,3,4,2,1,0,15
Natasha Dowie,Kyah Simon,1,10,2,5,5,1,0,15
Merritt Mathias,Kerolin,1,8,13,7,4,0,1,15
Emily Sonnett,Tyler Lussi,1,8,2,7,4,1,0,15
Nichelle Prince,Lindsay Agnew,1,14,10,0,2,1,0,14
Nahomi Kawasumi,Lindsay Elston,1,13,21,1,1,0,1,14
Chioma Ubogagu,Joanna Boyles,1,13,7,1,2,1,0,14
Diana Ordóñez,Fuka Nagano,1,12,1,2,1,1,0,14
Katie Johnson,Arin Wright,1,12,11,2,12,1,0,14
Cheyna Lee Matthews,Arielle Ship,1,12,3,2,4,1,0,14
Cheyna Lee Matthews,Tori Huster,1,12,3,2,6,1,0,14
Morgan Weaver,Yazmeen Ryan,1,11,7,3,5,0,1,14
Ashley Sanchez,Bayley Feist,1,11,7,3,3,1,0,14
Vanessa DiBernardo,Tatumn Milazzo,1,11,18,3,1,1,0,14
Simone Charley,Olivia Lynn Moultrie,1,11,3,3,5,1,0,14
Jasmyne Spencer,Sarah Hagen,1,10,6,4,2,1,0,14
Rosie White,Adriana Leon,1,8,3,6,6,1,0,14
Merritt Mathias,Brittany Ratcliffe,1,8,13,6,3,0,1,14
Alanna Stephanie Kennedy,Christine Nairn,1,8,2,6,14,1,0,14
Eugénie Le Sommer,Tziarra King,1,8,3,6,3,0,1,14
Diana Matheson,Estefanía Banini,1,7,1,7,1,1,0,14
Hayley Raso,Meghan Klingenberg,1,13,7,0,21,1,0,13
Veronica Latsko,Angelina,1,12,6,1,3,0,1,13
Allie Long,Megan Montefusco,1,12,6,1,4,1,0,13
Allie Long,Caprice Dydasco,1,12,6,1,7,1,0,13
Katie Stengel,Verónica Boquete,1,12,5,1,8,1,0,13
Rose Lavelle,Arielle Ship,1,11,5,2,4,1,0,13
Vanessa DiBernardo,Arin Wright,1,11,18,2,12,1,0,13
Kristen Edmonds,Ali Krieger,1,11,3,2,8,1,0,13
McCall Zerboni,Heather O'Reilly,1,10,6,3,3,0,1,13
Sophie Schmidt,Kyah Simon,1,8,5,5,5,0,1,13
Alanna Stephanie Kennedy,Camila,1,8,2,5,5,0,1,13
Amber Brooks,Christine Nairn,1,7,2,6,14,1,0,13
Estefanía Banini,Taylor Smith,1,7,1,6,7,1,0,13
Manon Melis,Kim Little,1,7,1,6,3,1,0,13
Veronica Latsko,Makamae Gomera-Stevens,1,12,6,0,1,1,0,12
Allie Long,Meghan Klingenberg,1,12,6,0,21,1,0,12
Diana Ordóñez,Emily Gray,1,12,1,0,2,1,0,12
Diana Ordóñez,Ryan Williams,1,12,1,0,6,1,0,12
Cheyna Lee Matthews,Cali Jean Farquharson,1,12,3,0,3,1,0,12
Katie Stengel,Katrina Gorry,1,12,5,0,1,1,0,12
Morgan Weaver,Samantha Grace Coffey,1,11,7,1,2,1,0,12
Simone Charley,Natalia Kuikka,1,11,3,1,4,1,0,12
Simone Charley,Jun Endo,1,11,3,1,4,1,0,12
Darian Jenkins,Kylie Strom,1,11,3,1,0,0,1,12
Makenzy Doniak,Christen Westphal,1,11,10,1,6,1,0,12
Makenzy Doniak,Sofia Jakobsson,1,11,10,1,4,0,1,12
Paige Monaghan,Évelyne Viens,1,10,3,2,3,1,0,12
McCall Zerboni,Évelyne Viens,1,10,6,2,3,0,1,12
Beverly Yanez,Rachel Corsie,1,10,4,2,2,1,0,12
Rosie White,Jennifer Vasconcelos,1,8,3,4,3,0,1,12
Alanna Stephanie Kennedy,Toni Pressley,1,8,2,4,1,1,0,12
Casey Krueger,Danielle Colaprico,1,8,6,4,11,1,0,12
Hina Sugita,Janine Beckie,1,7,4,5,5,1,0,12
Estefanía Banini,Joanna Lohman,1,7,1,5,1,1,0,12
Kelley O'Hara,Madison Tiernan,1,7,10,5,2,0,1,12
Brittany Ratcliffe,Tziarra King,1,6,3,6,3,0,1,12
Morgan Weaver,Madison Pogarch,1,11,7,0,3,1,0,11
Ashley Sanchez,Anna Heilferty,1,11,7,0,2,1,0,11
Morgan Weaver,Celeste Boureille,1,11,7,0,2,1,0,11
Simone Charley,Meghan Klingenberg,1,11,3,0,21,1,0,11
Simone Charley,Emily Menges,1,11,3,0,1,1,0,11
Darian Jenkins,Kerry Abello,1,11,3,0,1,1,0,11
Makenzy Doniak,Kelsey Turnbow,1,11,10,0,3,1,0,11
Kristen Edmonds,Carrie Lawrence,1,11,3,0,1,1,0,11
Kristen Edmonds,Leah Lynn Gabriela Fortune,1,11,3,0,1,1,0,11
Natasha Dowie,Louise Schillgard,1,10,2,1,2,1,0,11
Beverly Yanez,Lauren Barnes,1,10,4,1,4,1,0,11
Beverly Yanez,Carson Pickett,1,10,4,1,16,1,0,11
McCall Zerboni,Caprice Dydasco,1,10,6,1,7,1,0,11
Abby Erceg,Malia Berkely,1,10,5,1,1,1,0,11
Francisca Ordega,Line Sigvardsen Jensen,1,10,4,1,1,1,0,11
Taylor Kornieck,Amirah Ali,1,8,7,3,1,1,0,11
Hailie Mace,Elyse Bennett,1,8,8,3,6,0,1,11
Marisa Viggiano,Maria Sánchez,1,7,2,4,7,1,0,11
Andi Sullivan,Sam Staab,1,7,6,4,4,0,1,11
Alyssa Mautz,Julie Ertz,1,7,5,4,4,1,0,11
Amber Brooks,Sam Staab,1,7,2,4,4,1,0,11
Kelley O'Hara,Tara McKeown,1,7,10,4,4,0,1,11
Kerolin,Denise O'Sullivan,1,7,4,4,12,1,0,11
Tziarra King,Leah Pruitt,1,6,3,5,3,0,1,11
Christine Nairn,Joanna Lohman,1,6,14,5,1,0,1,11
Christine Nairn,Kyah Simon,1,6,14,5,5,0,1,11
Paige Monaghan,Julie James,1,10,3,0,1,1,0,10
Paige Monaghan,Delanie Sheehan,1,10,3,0,2,1,0,10
Natasha Dowie,Tiffany Weimer,1,10,2,0,1,1,0,10
Jasmyne Spencer,Jamia Fields,1,10,6,0,2,1,0,10
Maya Hayes,Domi Richardson,1,8,4,2,1,1,0,10
Merritt Mathias,Julia Spetsmark,1,8,13,2,1,0,1,10
Hailie Mace,Kate Bowen,1,8,8,2,5,1,0,10
Hailie Mace,Taylor Leach,1,8,8,2,0,0,1,10
Hina Sugita,Olivia Lynn Moultrie,1,7,4,3,5,1,0,10
Hina Sugita,Yazmeen Ryan,1,7,4,3,5,1,0,10
Kerolin,Kaleigh Kurtz,1,7,4,3,2,1,0,10
Taylor Smith,Jaelene Daniels,1,6,7,4,18,0,1,10
Taylor Smith,Meredith Speck,1,6,7,4,7,0,1,10
Imani Dorsey,Elizabeth Eddy,1,6,4,4,4,1,0,10
Erika Tymrak,Celia,1,6,8,4,2,0,1,10
Brittany Ratcliffe,Meredith Speck,1,6,3,4,7,1,0,10
Brittany Ratcliffe,Denise O'Sullivan,1,6,3,4,12,1,0,10
Janine Beckie,Poliana,1,5,5,5,2,0,1,10
Maya Hayes,Daphne Corboz,1,8,4,1,5,1,0,9
Maya Hayes,Taylor Lytle,1,8,4,1,9,1,0,9
Taylor Kornieck,Christen Westphal,1,8,7,1,6,1,0,9
Sophie Schmidt,Haley Hanson,1,8,5,1,3,1,0,9
Amber Brooks,Shirley Iveth Cruz,1,7,2,2,4,1,0,9
Havana Solaun,Estelle Johnson,1,7,5,2,1,0,1,9
Havana Solaun,Arielle Ship,1,7,5,2,4,0,1,9
Kelley O'Hara,Rachel Corsie,1,7,10,2,2,0,1,9
Kerolin,Brianna Pinto,1,7,4,2,2,1,0,9
Kerolin,Theresa Boade,1,7,4,2,1,0,1,9
Adriana Leon,Julie King,1,6,6,3,1,0,1,9
Ana-Maria Crnogorcevic,Caitlin Foord,1,6,4,3,2,0,1,9
Poliana,Andressinha,1,5,2,4,4,1,0,9
Jordan Baggett,Tara McKeown,1,5,1,4,4,1,0,9
Camila,Toni Pressley,1,5,5,4,1,0,1,9
Maegan Rosa,Yael Averbuch,1,5,1,4,1,1,0,9
Leah Pruitt,Meggie Dougherty Howard,1,5,3,4,6,0,1,9
Leah Galton,Natasha Kai,1,5,5,4,1,1,0,9
Katie Naughton,Danielle Colaprico,1,5,0,4,11,1,0,9
Rosie White,Amanda Frisbie,1,8,3,0,1,1,0,8
Merritt Mathias,Rebekah Stott,1,8,13,0,1,1,0,8
Taylor Kornieck,Kelsey Turnbow,1,8,7,0,3,1,0,8
Hailie Mace,Ryan Williams,1,8,8,0,6,1,0,8
Tyler Lussi,Christen Westphal,1,7,4,1,6,1,0,8
Tyler Lussi,Ellie Madison Carpenter,1,7,4,1,1,1,0,8
Gunny Jónsdóttir,Angharad James,1,7,8,1,1,1,0,8
Gunny Jónsdóttir,Courtney Petersen,1,7,8,1,4,1,0,8
Estefanía Banini,Alyssa Kleiner,1,7,1,1,1,1,0,8
Marisa Viggiano,Abi Kim,1,7,2,1,2,1,0,8
Manon Melis,Keelin Winters,1,7,1,1,2,1,0,8
Kerolin,Rylee Baisden,1,7,4,1,1,0,1,8
Tziarra King,Shirley Iveth Cruz,1,6,3,2,4,1,0,8
Jen Hoy,Taylor Comeau,1,6,3,2,3,1,0,8
Erika Tymrak,Kate Bowen,1,6,8,2,5,1,0,8
Erika Tymrak,Frances Silva,1,6,8,2,0,0,1,8
Erika Tymrak,Alexa Newfield,1,6,8,2,2,0,1,8
Brittany Ratcliffe,Alexa Newfield,1,6,3,2,2,1,0,8
Kim Little,Rachel Corsie,1,6,3,2,2,0,1,8
Camila,Danielle Weatherholt,1,5,5,3,2,0,1,8
Kyah Simon,Julie King,1,5,5,3,1,1,0,8
Jaelene Daniels,Meredith Speck,1,4,18,4,7,0,1,8
Julie Ertz,Jennifer Vasconcelos,1,4,4,4,3,0,1,8
Danielle Colaprico,Amanda Kowalski,1,4,11,4,0,0,1,8
Danielle Colaprico,Ella Stevens,1,4,11,4,2,0,1,8
Bianca St-Georges,Ella Stevens,1,4,4,4,2,1,0,8
Maria Sánchez,Elizabeth Eddy,1,4,7,4,4,0,1,8
Tyler Lussi,Meghan Klingenberg,1,7,4,0,21,1,0,7
Andi Sullivan,Cali Jean Farquharson,1,7,6,0,3,1,0,7
Marisa Viggiano,Ryan Gareis,1,7,2,0,2,1,0,7
Marisa Viggiano,Chelsee Washington,1,7,2,0,2,1,0,7
Hina Sugita,Meghan Klingenberg,1,7,4,0,21,1,0,7
Morgan Gautrat,Zoey Goralski,1,6,4,1,1,0,1,7
Morgan Gautrat,Tierna Davidson,1,6,4,1,1,1,0,7
Taylor Smith,Carson Pickett,1,6,7,1,16,1,0,7
Adriana Leon,Christen Westphal,1,6,6,1,6,1,0,7
Tziarra King,Angelina,1,6,3,1,3,1,0,7
Tziarra King,Verónica Boquete,1,6,3,1,8,1,0,7
Ana-Maria Crnogorcevic,Ellie Madison Carpenter,1,6,4,1,1,0,1,7
Maegan Rosa,Kate Bowen,1,5,1,2,5,1,0,7
Crystal Thomas,Bayley Feist,1,4,2,3,3,1,0,7
Danielle Colaprico,Tatumn Milazzo,1,4,11,3,1,0,1,7
Cari Roccaro,Claire Emslie,1,4,2,3,1,0,1,7
Taylor Smith,Kiki Pickett,1,6,7,0,1,1,0,6
Ana-Maria Crnogorcevic,Meghan Klingenberg,1,6,4,0,21,1,0,6
Imani Dorsey,Amandine Pierre-Louis,1,6,4,0,1,1,0,6
Erika Tymrak,Sydney Miramontez,1,6,8,0,1,1,0,6
Maegan Rosa,Christina Gibbons,1,5,1,1,3,1,0,6
Leah Pruitt,Abi Kim,1,5,3,1,2,1,0,6
Kyah Simon,Haley Hanson,1,5,5,1,3,0,1,6
Meggie Dougherty Howard,Ally Watt,1,4,6,2,1,0,1,6
Meggie Dougherty Howard,Arielle Ship,1,4,6,2,4,1,0,6
Meggie Dougherty Howard,Julie Doyle,1,4,6,2,0,0,1,6
