slug,id,season
kansas-city-current-vs-chicago-red-stars-2022-04-24,59ny13k3qbere9h5lsg9epkic,2022 Challenge Cup
houston-dash-vs-racing-louisville-fc-2022-04-24,59s7rje503boc47b8qebs82dw,2022 Challenge Cup
angel-city-fc-vs-portland-thorns-fc-2022-04-24,59wht9p1mxzvwq3pnm867omc4,2022 Challenge Cup
ol-reign-vs-washington-spirit-2022-05-04,4wzoqp9wfxhamk856go3bn310,2022 Challenge Cup
kansas-city-current-vs-north-carolina-courage-2022-05-04,6p7s0839pu23t08lu1fl6veok,2022 Challenge Cup
north-carolina-courage-vs-washington-spirit-2022-05-07,9lny0tx4imhmtn3tu2ugksw7o,2022 Challenge Cup
racing-louisville-fc-vs-kansas-city-current-2021-05-15,jjgn13g0847rbg1add78lces,2021
nj-ny-gotham-fc-vs-houston-dash-2021-05-15,jo6ivebwfjha7umvcgmwn95g,2021
ol-reign-vs-north-carolina-courage-2021-05-15,jf3qlydrph1ul76jutlrqq6s,2021
orlando-pride-vs-washington-spirit-2021-05-16,jrl014ygo67nxj6shtewj4lw,2021
portland-thorns-fc-vs-chicago-red-stars-2021-05-16,jv28rhdkzl28fe1rzoj13tp0,2021
racing-louisville-fc-vs-washington-spirit-2021-05-21,jxltuiix8guszp941bywxm38,2021
north-carolina-courage-vs-orlando-pride-2021-05-22,k0em93vb8x746g1a88rkzod0,2021
chicago-red-stars-vs-nj-ny-gotham-fc-2021-05-22,k34k9qsym5qh6e9edr7gfuvo,2021
portland-thorns-fc-vs-ol-reign-2021-05-23,k5xgll60xtbaus8vfpt0mb6c,2021
houston-dash-vs-kansas-city-current-2021-05-23,k8or6cyxdm6nmzoyw0t54aac,2021
orlando-pride-vs-portland-thorns-fc-2021-05-26,kb6uupy6anu094fqhoob9gd0,2021
kansas-city-current-vs-chicago-red-stars-2021-05-26,kg9b7k72s9iwmyoijs3racr8,2021
washington-spirit-vs-houston-dash-2021-05-26,kdsvb13lipagf8keby59fi1g,2021
north-carolina-courage-vs-racing-louisville-fc-2021-05-28,kitesazpyktqoulk8br1cv84,2021
houston-dash-vs-chicago-red-stars-2021-05-29,klm8yp1ldc3r34m74oj7q9lg,2021
nj-ny-gotham-fc-vs-portland-thorns-fc-2021-05-30,ko58plitbc5pmjm0o81n4g7o,2021
orlando-pride-vs-kansas-city-current-2021-05-30,kqnl1h71ksogdftfktwkxjpw,2021
ol-reign-vs-washington-spirit-2021-05-30,kt7cu1klwauppb8903gmiyok,2021
chicago-red-stars-vs-north-carolina-courage-2021-06-05,ky7yc2sc3t3fh5coondn261g,2021
nj-ny-gotham-fc-vs-ol-reign-2021-06-05,l3d0nobjdqd2c3771qh05mok,2021
portland-thorns-fc-vs-racing-louisville-fc-2021-06-05,kvqyukon1uxikfx15ygcx5hw,2021
washington-spirit-vs-orlando-pride-2021-06-06,l9hxuhce26q5tjbtc89nbaqc,2021
kansas-city-current-vs-houston-dash-2021-06-06,l6wv9kt22f5lwxxhbm4uzf9w,2021
north-carolina-courage-vs-ol-reign-2021-06-19,lchtv1zrj771lkublpbel82c,2021
chicago-red-stars-vs-washington-spirit-2021-06-19,lfbtkb7p2qfwku6jhnsb8r2s,2021
racing-louisville-fc-vs-houston-dash-2021-06-20,li3xa09uqzurcwnghnlfzeac,2021
portland-thorns-fc-vs-kansas-city-current-2021-06-20,lky8wckz97j3gltmue00d79w,2021
orlando-pride-vs-nj-ny-gotham-fc-2021-06-20,lnay6mdiwbf0no09j6qww4d0,2021
ol-reign-vs-chicago-red-stars-2021-06-22,lqej8225fkk911ono794tkpg,2021
kansas-city-current-vs-orlando-pride-2021-06-23,ltcbaxxg2noazfai4i8l0g0k,2021
racing-louisville-fc-vs-north-carolina-courage-2021-06-23,lvwv149ci7i17hl8k9cxrrpw,2021
ol-reign-vs-nj-ny-gotham-fc-2021-06-26,m1bkvmnlgd7yhwfqceco9zx0,2021
chicago-red-stars-vs-racing-louisville-fc-2021-06-26,lyuxl8nujfsu50xnjje6fl04,2021
north-carolina-courage-vs-portland-thorns-fc-2021-06-26,m47c0ksso1xgtfurqdiuxst0,2021
houston-dash-vs-orlando-pride-2021-06-26,m6m9u425117ppebuat0sw3kk,2021
kansas-city-current-vs-washington-spirit-2021-06-26,m9eyl21jzf7skt407ld5a61g,2021
washington-spirit-vs-chicago-red-stars-2021-07-02,merqy0wrvqrt9ci6tbeg2j9w,2021
houston-dash-vs-ol-reign-2021-07-02,mh7agx2w4zqqzp0tnvz5u87o,2021
nj-ny-gotham-fc-vs-kansas-city-current-2021-07-02,mc68ryk7y10inwdkdo748glw,2021
racing-louisville-fc-vs-portland-thorns-fc-2021-07-03,mln7xubvonf5nz1swxbcmn10,2021
orlando-pride-vs-north-carolina-courage-2021-07-04,mo4nqjd1y48xnfziqkx8xi50,2021
