kickoff,season,home_team,away_team,home_team_score,away_team_score,home_penalty_score,away_penalty_score,is_playoff
2015-09-06 19:00:00,2015,CHI,HOU,1,1,0,0,False
2015-09-13 19:00:00,2015,CHI,KC,0,3,0,0,True
2015-09-13 19:00:00,2015,RGN,WAS,3,0,0,0,True
2015-10-01 19:00:00,2015,KC,RGN,1,0,0,0,True
2016-04-16 19:00:00,2016,WAS,BOS,1,0,0,0,False
2016-04-16 20:30:00,2016,KC,WNY,0,1,0,0,False
2016-04-16 20:30:00,2016,HOU,CHI,3,1,0,0,False
2016-04-17 19:00:00,2016,RGN,NJY,1,2,0,0,False
2016-04-17 22:00:00,2016,POR,ORL,2,1,0,0,False
2016-04-23 19:00:00,2016,CHI,WNY,1,0,0,0,False
2016-04-23 19:30:00,2016,ORL,HOU,3,1,0,0,False
2016-04-23 20:30:00,2016,KC,POR,1,1,0,0,False
2016-04-24 18:00:00,2016,NJY,WAS,1,2,0,0,False
2016-04-24 18:30:00,2016,BOS,RGN,0,3,0,0,False
2016-04-29 19:00:00,2016,WNY,WAS,0,3,0,0,False
2016-04-29 20:30:00,2016,HOU,NJY,0,0,0,0,False
2016-05-01 17:00:00,2016,BOS,POR,0,1,0,0,False
2016-05-01 18:00:00,2016,CHI,ORL,1,0,0,0,False
2016-05-01 19:00:00,2016,RGN,KC,1,0,0,0,False
2016-05-07 19:00:00,2016,NJY,WNY,1,2,0,0,False
2016-05-07 19:00:00,2016,WAS,POR,0,0,0,0,False
2016-05-07 19:00:00,2016,BOS,CHI,0,1,0,0,False
2016-05-07 20:30:00,2016,KC,HOU,1,2,0,0,False
2016-05-08 17:00:00,2016,ORL,RGN,2,0,0,0,False
2016-05-13 19:00:00,2016,NJY,BOS,1,0,0,0,False
2016-05-13 20:30:00,2016,KC,CHI,0,0,0,0,False
2016-05-14 19:00:00,2016,WAS,HOU,1,0,0,0,False
2016-05-14 19:30:00,2016,ORL,WNY,1,0,0,0,False
2016-05-14 22:00:00,2016,RGN,POR,1,1,0,0,False
2016-05-20 20:40:00,2016,HOU,ORL,0,1,0,0,False
2016-05-21 19:05:00,2016,WNY,NJY,5,2,0,0,False
2016-05-21 22:00:00,2016,POR,WAS,4,1,0,0,False
2016-05-22 18:30:00,2016,BOS,KC,1,0,0,0,False
2016-05-22 19:00:00,2016,RGN,CHI,1,2,0,0,False
2016-05-27 19:00:00,2016,WNY,BOS,4,0,0,0,False
2016-05-28 20:30:00,2016,KC,ORL,2,0,0,0,False
2016-05-29 19:00:00,2016,POR,RGN,0,0,0,0,False
2016-05-29 19:00:00,2016,CHI,NJY,1,1,0,0,False
2016-06-10 19:00:00,2016,BOS,WAS,1,1,0,0,False
2016-06-11 19:00:00,2016,NJY,KC,1,1,0,0,False
2016-06-11 19:05:00,2016,WNY,ORL,1,0,0,0,False
2016-06-12 18:05:00,2016,CHI,POR,1,1,0,0,False
2016-06-12 19:00:00,2016,RGN,HOU,1,0,0,0,False
2016-06-17 19:05:00,2016,WNY,POR,0,2,0,0,False
2016-06-18 19:00:00,2016,WAS,ORL,2,0,0,0,False
2016-06-18 20:00:00,2016,CHI,BOS,3,0,0,0,False
2016-06-19 18:00:00,2016,NJY,RGN,0,0,0,0,False
2016-06-19 20:30:00,2016,HOU,KC,0,1,0,0,False
2016-06-22 22:00:00,2016,POR,CHI,2,0,0,0,False
2016-06-23 19:30:00,2016,ORL,HOU,1,0,0,0,False
2016-06-24 19:00:00,2016,WNY,BOS,7,1,0,0,False
2016-06-25 19:00:00,2016,KC,RGN,0,0,0,0,False
2016-06-25 19:00:00,2016,WAS,NJY,1,2,0,0,False
2016-06-26 17:00:00,2016,ORL,POR,1,2,0,0,False
2016-07-01 20:20:00,2016,WNY,CHI,2,0,0,0,False
2016-07-02 19:00:00,2016,WAS,KC,2,0,0,0,False
2016-07-02 22:00:00,2016,RGN,BOS,2,0,0,0,False
2016-07-02 22:30:00,2016,POR,NJY,2,1,0,0,False
2016-07-09 19:00:00,2016,WNY,RGN,3,2,0,0,False
2016-07-09 19:00:00,2016,NJY,HOU,1,0,0,0,False
2016-07-09 19:00:00,2016,WAS,CHI,2,0,0,0,False
2016-07-09 22:30:00,2016,POR,KC,1,2,0,0,False
2016-07-10 17:00:00,2016,ORL,BOS,2,1,0,0,False
2016-07-16 19:00:00,2016,KC,WAS,2,3,0,0,False
2016-07-16 19:30:00,2016,ORL,CHI,0,1,0,0,False
2016-07-16 20:30:00,2016,HOU,POR,3,0,0,0,False
2016-07-16 22:00:00,2016,RGN,WNY,1,1,0,0,False
2016-07-17 17:00:00,2016,BOS,NJY,2,3,0,0,False
2016-07-23 19:00:00,2016,NJY,WAS,1,0,0,0,False
2016-07-23 19:05:00,2016,WNY,KC,0,1,0,0,False
2016-07-23 20:00:00,2016,CHI,HOU,1,1,0,0,False
2016-07-23 22:00:00,2016,RGN,ORL,5,2,0,0,False
