date,season,home,away,home_score,away_score
2016-07-16,2016,HOU,POR,3,0
2016-07-16,2016,RGN,WNY,1,1
2016-07-17,2016,BOS,NJY,2,3
2016-07-23,2016,NJY,WAS,1,0
2016-07-23,2016,WNY,KC,0,1
2016-07-23,2016,CHI,HOU,1,1
2016-07-23,2016,RGN,ORL,5,2
2016-07-30,2016,CHI,KC,1,0
2016-07-30,2016,HOU,WNY,3,3
2016-07-30,2016,POR,RGN,1,0
2016-07-31,2016,WAS,NJY,3,1
2016-07-31,2016,BOS,ORL,1,0
2016-08-18,2016,HOU,WAS,1,2
2016-08-26,2016,ORL,WAS,1,2
2016-08-27,2016,RGN,POR,3,1
2016-08-27,2016,WNY,HOU,2,2
2016-08-27,2016,NJY,CHI,1,3
2016-08-28,2016,KC,BOS,0,2
2016-08-31,2016,BOS,HOU,1,3
2016-09-03,2016,WAS,WNY,1,1
2016-09-03,2016,HOU,ORL,4,2
2016-09-04,2016,KC,NJY,2,1
2016-09-04,2016,CHI,RGN,2,2
2016-09-04,2016,POR,BOS,5,1
2016-09-07,2016,NJY,ORL,1,1
2016-09-07,2016,BOS,WNY,2,2
2016-09-07,2016,WAS,RGN,2,1
2016-09-07,2016,CHI,KC,2,3
2016-09-07,2016,POR,HOU,3,0
2016-09-10,2016,ORL,NJY,1,2
2016-09-11,2016,KC,CHI,0,0
2016-09-11,2016,HOU,BOS,4,1
2016-09-11,2016,POR,WNY,3,2
2016-09-11,2016,RGN,WAS,2,0
2016-09-24,2016,ORL,KC,1,2
2016-09-24,2016,BOS,WNY,0,4
2016-09-24,2016,CHI,WAS,3,1
2016-09-25,2016,NJY,POR,1,3
2016-09-25,2016,HOU,RGN,2,3
2017-04-15,2017,HOU,CHI,2,0
2017-04-15,2017,WAS,NC,0,1
2017-04-15,2017,POR,ORL,2,0
2017-04-15,2017,RGN,NJY,1,1
2017-04-16,2017,KC,BOS,2,0
2017-04-22,2017,CHI,KC,1,0
2017-04-22,2017,ORL,WAS,1,1
2017-04-22,2017,NC,POR,1,0
2017-04-22,2017,RGN,HOU,5,1
2017-04-23,2017,BOS,NJY,1,0
2017-04-29,2017,NC,ORL,3,1
2017-04-29,2017,POR,CHI,1,0
2017-04-29,2017,WAS,HOU,0,1
2017-04-29,2017,BOS,RGN,3,0
2017-04-30,2017,NJY,KC,1,0
2017-05-06,2017,CHI,HOU,2,0
2017-05-06,2017,WAS,NJY,4,3
2017-05-06,2017,POR,RGN,2,2
2017-05-07,2017,KC,ORL,1,1
2017-05-07,2017,BOS,NC,0,1
2017-05-13,2017,KC,POR,0,0
2017-05-13,2017,HOU,NJY,1,3
2017-05-13,2017,RGN,WAS,6,2
2017-05-14,2017,ORL,NC,3,1
2017-05-14,2017,CHI,BOS,1,1
2017-05-19,2017,BOS,POR,2,2
2017-05-20,2017,NJY,HOU,2,1
2017-05-20,2017,WAS,KC,0,1
2017-05-21,2017,NC,CHI,1,3
2017-05-21,2017,RGN,ORL,1,1
2017-05-24,2017,NC,NJY,2,0
2017-05-27,2017,CHI,NC,3,2
2017-05-27,2017,HOU,RGN,0,2
2017-05-27,2017,NJY,ORL,2,1
2017-05-27,2017,KC,WAS,3,2
2017-05-27,2017,POR,BOS,2,0
2017-06-03,2017,NC,KC,2,0
2017-06-03,2017,NJY,POR,0,2
2017-06-03,2017,WAS,HOU,2,0
2017-06-03,2017,ORL,BOS,2,0
2017-06-04,2017,CHI,RGN,1,0
2017-06-17,2017,CHI,WAS,1,1
2017-06-17,2017,NC,BOS,3,1
2017-06-17,2017,KC,RGN,2,2
2017-06-17,2017,HOU,ORL,2,4
2017-06-17,2017,POR,NJY,1,3
2017-06-24,2017,ORL,HOU,0,2
2017-06-24,2017,BOS,NC,0,1
2017-06-24,2017,WAS,POR,1,0
2017-06-24,2017,RGN,KC,1,1
2017-06-25,2017,CHI,NJY,2,1
2017-06-28,2017,NJY,ORL,2,3
2017-06-28,2017,HOU,BOS,0,0
2017-06-28,2017,POR,KC,3,0
2017-06-28,2017,RGN,CHI,2,1
2017-07-01,2017,NC,NJY,0,1
2017-07-01,2017,BOS,WAS,1,0
2017-07-01,2017,ORL,CHI,0,1
2017-07-01,2017,RGN,POR,2,0
2017-07-02,2017,KC,HOU,1,2
2017-07-07,2017,BOS,CHI,0,0
2017-07-08,2017,WAS,ORL,2,2
2017-07-08,2017,NJY,KC,3,2
2017-07-08,2017,NC,RGN,2,0
2017-07-08,2017,HOU,POR,1,1
2017-07-15,2017,POR,NC,1,0
2017-07-15,2017,NJY,CHI,2,2
2017-07-15,2017,ORL,KC,4,1
2017-07-15,2017,HOU,WAS,2,1
2017-07-15,2017,RGN,BOS,1,1
2017-07-22,2017,CHI,ORL,2,1
2017-07-22,2017,HOU,BOS,1,0
2017-07-22,2017,POR,WAS,2,1
2017-07-22,2017,RGN,NJY,5,4
2017-08-04,2017,NJY,WAS,1,4
2017-08-04,2017,BOS,KC,2,2
2017-08-05,2017,POR,HOU,2,1
2017-08-05,2017,ORL,CHI,1,1
2017-08-05,2017,NC,RGN,1,0
2017-08-08,2017,ORL,WAS,3,0
2017-08-10,2017,KC,NC,0,1
2017-08-12,2017,WAS,BOS,2,2
2017-08-12,2017,CHI,POR,2,3
2017-08-12,2017,ORL,NJY,5,0
2017-08-13,2017,HOU,KC,0,1
2017-08-13,2017,RGN,NC,1,2
2017-08-16,2017,BOS,HOU,1,3
2017-08-16,2017,CHI,RGN,1,2
2017-08-16,2017,KC,POR,2,1
2017-08-19,2017,NC,WAS,2,0
2017-08-19,2017,BOS,ORL,1,2
2017-08-19,2017,NJY,RGN,5,4
2017-08-19,2017,POR,HOU,2,0
2017-08-20,2017,CHI,KC,1,3
2017-08-26,2017,KC,ORL,1,2
2017-08-26,2017,RGN,POR,1,2
2017-08-26,2017,WAS,CHI,1,2
2017-08-26,2017,NJY,BOS,1,0
2017-08-30,2017,WAS,NC,2,3
2017-09-02,2017,POR,WAS,4,0
2017-09-02,2017,ORL,BOS,4,2
2017-09-03,2017,KC,NJY,4,1
2017-09-03,2017,CHI,NC,2,1
2017-09-03,2017,HOU,RGN,0,1
2017-09-07,2017,ORL,RGN,1,1
2017-09-09,2017,KC,CHI,0,0
2017-09-09,2017,NC,HOU,1,0
2017-09-10,2017,BOS,POR,0,1
2017-09-10,2017,NJY,WAS,1,2
2017-09-23,2017,ORL,POR,0,0
2017-09-23,2017,WAS,BOS,0,3
2017-09-23,2017,HOU,CHI,2,3
2017-09-24,2017,NJY,NC,1,1
2017-09-24,2017,RGN,KC,0,1
2017-09-27,2017,HOU,NC,0,4
2017-09-30,2017,POR,CHI,3,1
2017-09-30,2017,BOS,NJY,3,4
2017-09-30,2017,WAS,RGN,2,3
2017-09-30,2017,NC,ORL,2,3
2017-10-01,2017,KC,HOU,1,1
2018-03-24,2018,NC,POR,1,0
2018-03-24,2018,ORL,UTA,1,1
2018-03-24,2018,RGN,WAS,2,1
2018-03-25,2018,HOU,CHI,1,1
2018-03-30,2018,HOU,UTA,0,0
2018-03-31,2018,NC,NJY,1,0
2018-03-31,2018,WAS,ORL,2,0
2018-03-31,2018,CHI,POR,2,3
2018-04-14,2018,UTA,CHI,0,1
2018-04-14,2018,WAS,NC,2,4
2018-04-15,2018,NJY,RGN,0,1
2018-04-15,2018,POR,ORL,2,1
2018-04-18,2018,NC,RGN,1,0
2018-04-18,2018,CHI,HOU,3,0
2018-04-20,2018,POR,WAS,1,1
2018-04-21,2018,NC,UTA,2,2
2018-04-21,2018,CHI,NJY,1,1
2018-04-22,2018,ORL,HOU,1,0
2018-04-28,2018,HOU,NC,0,2
2018-04-28,2018,WAS,CHI,1,1
2018-04-28,2018,ORL,RGN,1,1
2018-04-28,2018,UTA,POR,1,1
2018-05-02,2018,CHI,ORL,0,2
2018-05-05,2018,POR,RGN,2,3
2018-05-05,2018,NJY,HOU,2,3
2018-05-05,2018,UTA,WAS,2,0
2018-05-06,2018,NC,CHI,1,1
2018-05-09,2018,HOU,POR,1,1
2018-05-09,2018,UTA,ORL,0,0
2018-05-12,2018,POR,ORL,1,2
2018-05-12,2018,NC,WAS,1,0
2018-05-12,2018,CHI,HOU,2,2
2018-05-12,2018,RGN,NJY,4,1
2018-05-19,2018,UTA,HOU,1,0
2018-05-19,2018,WAS,POR,0,1
2018-05-19,2018,NJY,NC,1,2
2018-05-19,2018,RGN,CHI,0,0
2018-05-23,2018,WAS,NJY,1,0
2018-05-23,2018,ORL,NC,3,4
2018-05-23,2018,HOU,RGN,2,1
2018-05-25,2018,POR,UTA,2,0
2018-05-26,2018,CHI,ORL,2,5
2018-05-26,2018,NJY,RGN,0,1
2018-05-27,2018,HOU,WAS,3,2
2018-05-30,2018,POR,NC,1,4
2018-06-02,2018,NJY,UTA,1,2
2018-06-02,2018,WAS,CHI,0,2
2018-06-03,2018,HOU,NC,1,1
2018-06-03,2018,RGN,ORL,0,0
2018-06-08,2018,NJY,WAS,0,0
2018-06-16,2018,WAS,RGN,0,0
2018-06-16,2018,NC,UTA,0,1
2018-06-16,2018,ORL,NJY,3,2
2018-06-16,2018,CHI,POR,1,1
2018-06-22,2018,HOU,POR,1,3
2018-06-23,2018,RGN,NC,1,4
2018-06-23,2018,WAS,ORL,0,1
2018-06-23,2018,CHI,UTA,2,0
2018-06-27,2018,ORL,HOU,1,2
2018-06-27,2018,UTA,RGN,0,0
2018-06-27,2018,POR,NJY,1,1
2018-06-30,2018,ORL,NC,0,3
2018-06-30,2018,UTA,NJY,3,1
2018-06-30,2018,RGN,POR,1,0
2018-07-01,2018,CHI,WAS,2,0
2018-07-04,2018,NC,CHI,4,1
2018-07-06,2018,POR,UTA,4,0
2018-07-07,2018,NJY,CHI,1,3
2018-07-07,2018,ORL,WAS,2,1
2018-07-07,2018,RGN,HOU,3,1
2018-07-11,2018,NC,WAS,2,0
2018-07-11,2018,HOU,ORL,3,1
2018-07-11,2018,RGN,UTA,1,0
2018-07-14,2018,UTA,ORL,1,2
2018-07-14,2018,NJY,NC,0,4
2018-07-14,2018,CHI,RGN,1,0
2018-07-15,2018,POR,HOU,3,1
2018-07-20,2018,UTA,NC,0,0
2018-07-21,2018,ORL,RGN,1,1
2018-07-21,2018,NJY,POR,1,2
2018-07-22,2018,WAS,HOU,0,1
2018-08-05,2018,NC,POR,2,1
2018-08-05,2018,ORL,NJY,2,2
2018-08-05,2018,HOU,UTA,1,2
2018-08-05,2018,RGN,WAS,2,0
2018-08-08,2018,UTA,WAS,1,0
2018-08-10,2018,CHI,NC,1,1
2018-08-11,2018,UTA,RGN,0,1
2018-08-11,2018,NJY,HOU,1,2
2018-08-11,2018,ORL,POR,0,2
2018-08-15,2018,RGN,CHI,0,0
2018-08-17,2018,HOU,WAS,4,0
2018-08-18,2018,NJY,UTA,2,2
2018-08-18,2018,POR,CHI,2,2
2018-08-19,2018,NC,ORL,3,0
2018-08-21,2018,RGN,HOU,2,0
2018-08-22,2018,WAS,UTA,0,1
2018-08-22,2018,POR,NJY,2,1
2018-08-25,2018,RGN,NC,1,1
2018-08-25,2018,ORL,CHI,1,3
2018-08-25,2018,WAS,POR,0,1
2018-08-25,2018,HOU,NJY,6,1
2018-09-02,2018,WAS,NJY,1,1
2018-09-04,2018,CHI,NJY,5,0
2018-09-07,2018,POR,RGN,3,1
2018-09-08,2018,NJY,ORL,1,0
2018-09-08,2018,UTA,CHI,2,1
2018-09-08,2018,NC,HOU,5,0
2019-04-13,2019,WAS,NJY,2,0
2019-04-13,2019,NC,CHI,1,1
2019-04-14,2019,ORL,POR,0,2
2019-04-14,2019,HOU,RGN,1,1
2019-04-17,2019,NC,ORL,5,0
2019-04-20,2019,CHI,POR,4,4
2019-04-20,2019,NJY,HOU,0,1
2019-04-20,2019,UTA,WAS,1,0
2019-04-21,2019,RGN,ORL,1,1
2019-04-27,2019,ORL,UTA,0,1
2019-04-28,2019,CHI,RGN,3,0
2019-04-28,2019,HOU,NC,1,4
2019-04-28,2019,NJY,POR,2,2
2019-05-03,2019,UTA,CHI,1,0
2019-05-04,2019,NC,NJY,0,0
2019-05-04,2019,WAS,RGN,0,0
2019-05-05,2019,HOU,ORL,1,0
2019-05-11,2019,NJY,WAS,2,3
2019-05-11,2019,UTA,HOU,1,2
2019-05-11,2019,ORL,POR,1,3
2019-05-12,2019,CHI,NC,3,1
2019-05-18,2019,RGN,NJY,2,1
2019-05-18,2019,WAS,POR,3,1
2019-05-19,2019,NC,UTA,1,1
2019-05-19,2019,HOU,CHI,1,2
2019-05-25,2019,NJY,POR,0,1
2019-05-25,2019,UTA,ORL,2,0
2019-05-26,2019,CHI,WAS,0,2
2019-05-27,2019,RGN,NC,2,1
2019-06-01,2019,WAS,UTA,2,0
2019-06-01,2019,ORL,NC,0,3
2019-06-02,2019,RGN,HOU,1,1
2019-06-02,2019,POR,CHI,3,0
