RGN-WAS,LOU-ORL,POR-NJY,NC-SD,KCC-CHI,HOU-LA,clinched,eliminated
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 1)","[POR,SD]","[LOU,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(1, 0)","(1, 0)","[SD,POR,RGN]","[LOU,LA,KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 0)","[SD,POR,RGN]","[LA,LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 1)","[SD,POR]","[LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)","[SD,POR,RGN]","[LOU,LA,CHI,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","[SD,POR,RGN]","[LA,LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 1)","[SD,POR]","[LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 1)","(1, 0)","[SD,POR,RGN]","[LOU,LA,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 0)","[SD,POR,RGN]","[LA,LOU,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 1)","[SD,POR]","[LOU,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(1, 0)","(1, 0)","[POR,SD]","[LOU,LA,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 0)","[POR,SD]","[LA,LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 1)","[POR,SD]","[LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)","[POR,SD]","[LOU,LA,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 0)","[POR,SD]","[LA,LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","[POR,SD]","[LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(1, 0)","[POR,SD]","[LOU,LA,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","[POR,SD]","[LA,LOU,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 1)","[POR,SD]","[LOU,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(1, 0)","(1, 0)","[SD,POR,RGN,NJY]","[LOU,LA,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 0)","[SD,POR,RGN,NJY]","[LA,LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","[SD,POR]","[LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(1, 0)","[SD,POR,RGN,NJY]","[LOU,LA,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","[SD,POR,RGN,NJY]","[LA,LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","[SD,POR]","[LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","[SD,POR,RGN,NJY]","[LOU,LA,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","[SD,POR,RGN,NJY]","[LA,LOU,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 1)","[SD,POR]","[LOU,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(1, 0)","[SD,POR,RGN,NJY]","[LOU,LA,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","[SD,POR,RGN,NJY]","[LA,LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 1)","[SD,POR]","[LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)","[SD,POR,RGN,NJY]","[LOU,LA,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","[SD,POR,RGN,NJY]","[LA,LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 1)","[SD,POR]","[LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 1)","(1, 0)","[SD,POR,RGN,NJY]","[LOU,LA,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 0)","[SD,POR,RGN,NJY]","[LA,LOU,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 1)","[SD,POR]","[LOU,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(1, 0)","(1, 0)","[SD,NJY]","[LOU,LA,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 0)","[SD,NJY]","[LA,LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 1)","[SD,NJY]","[LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(1, 0)","[SD,NJY]","[LOU,LA,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","[SD,NJY]","[LA,LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 1)","[SD,NJY]","[LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 1)","(1, 0)","[SD,NJY]","[LOU,LA,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 0)","[SD,NJY]","[LA,LOU,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 1)","[SD,NJY]","[LOU,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)","(1, 0)","[SD,NJY,POR,RGN]","[LOU,LA,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","[SD,NJY,POR,RGN]","[LA,LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 1)","[SD,NJY,POR]","[LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","[SD,NJY,POR,RGN]","[LOU,LA,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","[SD,NJY,POR,RGN]","[LA,LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 1)","[SD,NJY,POR]","[LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 1)","(1, 0)","[SD,NJY,POR,RGN]","[LOU,LA,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 0)","[SD,NJY,POR,RGN]","[LA,LOU,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 1)","[SD,NJY,POR]","[LOU,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(1, 0)","(1, 0)","[SD,NJY,POR,RGN]","[LOU,LA,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 0)","[SD,NJY,POR,RGN]","[LA,LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 1)","[SD,NJY,POR]","[LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 0)","(1, 0)","[SD,NJY,POR,RGN]","[LOU,LA,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 0)","[SD,NJY,POR,RGN]","[LA,LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 1)","[SD,NJY,POR]","[LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 1)","(1, 0)","[SD,NJY,POR,RGN]","[LOU,LA,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 0)","[SD,NJY,POR,RGN]","[LA,LOU,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","[SD,NJY,POR]","[LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","[POR,SD]","[LA,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(1, 0)","(0, 0)","[POR,SD]","[LA,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(1, 0)","(0, 1)","[POR,SD]","[HOU,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 0)","(1, 0)","[POR,SD]","[LA,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 0)","(0, 0)","[POR,SD]","[LA,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 0)","(0, 1)","[POR,SD]","[HOU,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 1)","(1, 0)","[POR,SD]","[LA,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 1)","(0, 0)","[POR,SD]","[LA,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","(0, 1)","(0, 1)","[POR,SD]","[HOU,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(1, 0)","(1, 0)","[POR,SD]","[LA,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(1, 0)","(0, 0)","[POR,SD,RGN,ORL]","[LA,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(1, 0)","(0, 1)","[POR,SD]","[HOU,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 0)","[POR,SD]","[LA,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 0)","[POR,SD,RGN,ORL]","[LA,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","[POR,SD]","[HOU,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 1)","(1, 0)","[POR,SD]","[LA,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 1)","(0, 0)","[POR,SD,RGN,ORL]","[LA,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 1)","(0, 1)","[POR,SD]","[HOU,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(1, 0)","(1, 0)","[SD,POR]","[LA,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(1, 0)","(0, 0)","[SD,POR,RGN,ORL]","[LA,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(1, 0)","(0, 1)","[SD,POR]","[HOU,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 0)","(1, 0)","[SD,POR]","[LA,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","[SD,POR,RGN,ORL]","[LA,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 0)","(0, 1)","[SD,POR]","[HOU,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 1)","(1, 0)","[SD,POR]","[LA,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 1)","(0, 0)","[SD,POR,RGN,ORL]","[LA,LOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","(0, 1)","(0, 1)","[SD,POR]","[HOU,LOU,KCC]"
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(1, 0)","(1, 0)","[POR,SD]","[LA,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(1, 0)","(0, 0)","[POR,SD]","[HOU,LA,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(1, 0)","(0, 1)","[POR,SD]","[HOU,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","(1, 0)","[POR,SD]","[LA,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","(0, 0)","[POR,SD]","[HOU,LA,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","[POR,SD]","[HOU,CHI,LOU,KCC]"
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 1)","(1, 0)","[POR,SD]","[CHI,LA,LOU,KCC]"
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","[POR,SD]","[HOU,CHI,LA,LOU,KCC]"
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 1)","(0, 1)","[POR,SD]","[CHI,HOU,LOU,KCC]"
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 0)","[SD,POR]","[LA,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 0)","[SD,POR,RGN,NJY,ORL]","[HOU,LA,KCC,LOU,CHI]"
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","[SD,POR]","[HOU,KCC,LOU,CHI]"
