result_id,player_id,avg_speed,distance_high_speed_running,distance_high_speed_sprinting,distance_jogging,distance_low_speed_sprinting,distance_walking,speed_runs,sprints,top_speed,total_distance,receptions_under_indirect_pressure,receptions_under_direct_pressure,received_offers_to_receive,linebreaks_attempted_all_lines,offers_to_receive_in_between,distributions_completed_under_pressure,offers_to_receive_in_behind,goalkeeper_defensive_actions_outside_penalty_area,linebreaks_attempted,linebreaks_attempted_attacking_line,linebreaks_attempted_attacking_line_completed,linebreaks_attempted_midfield_line_completed,linebreaks_attempted_defensive_line_completed,linebreaks_attempted_under_pressure,offers_to_receive_inside,offers_to_receive_outside,receptions_between_midfield_and_defensive_line,offers_to_receive_in_front,distributions_under_pressure,linebreaks_attempted_midfield_line,receptions_under_pressure,goalkeeper_goal_preventions,goalkeeper_defensive_actions_inside_penalty_area,receptions_under_no_pressure,linebreaks_attempted_completed,linebreaks_attempted_defensive_line,offers_to_receive_total,linebreaks_completed_under_pressure,linebreaks_completed_all_lines,linebreaks_completed_midfield_and_defensive_line,linebreaks_attempted_midfield_and_defensive_line,linebreaks_attempted_attacking_and_midfield_line,attempted_switches_of_play,completed_switches_of_play,direct_defensive_pressures_applied,defensive_pressures_applied,completed_ball_progressions,linebreaks_completed_attacking_and_midfield_line,attempted_ball_progressions,take_ons_completed,crosses_completed,crosses,passes_completed,yellow_cards,red_cards,direct_free_kicks,indirect_free_kicks,free_kicks,attempt_at_goal_inside_the_penalty_area,goals_outside_the_penalty_area,headed_attempt_at_goal,own_goals,attempt_at_goal_on_target,attempt_at_goal,assists,goals_conceded_from_attempt_at_goal_against,attempt_at_goal_outside_the_penalty_area,passes,goals,fouls_against,attempt_at_goal_outside_the_penalty_area_on_target,attempt_at_goal_off_target,goals_from_direct_free_kicks,substitutions_out,substitutions_in,time_played,penalties_scored,penalties,throw_ins,corners,goal_kicks,goals_inside_the_penalty_area,attempt_at_goal_inside_the_penalty_area_on_target,attempt_at_goal_from_free_kicks,fouls_for,offsides,attempt_at_goal_blocked,player_name,date
131884,443421,7.37,843.7048959999998,27.207239,1114.655338,151.46298000000002,667.8395469999999,61,11,31.25,2804.87,1,1,1,0,1,0,1,0,1,0,0,0,0,1,2,0,1,0,1,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,Alexandra PINELL,2023-07-21T19:30:00Z
131884,443440,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genesis PEREZ,2023-07-21T19:30:00Z
131884,443443,7.75,829.877448,74.582424,1102.162488,176.689314,776.0123639999999,60,17,31.66,2959.62,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,Sheika SCOTT,2023-07-21T19:30:00Z
131884,467287,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria PEREZ,2023-07-21T19:30:00Z
131884,467297,6.78,1790.8548639999997,169.23239999999998,2681.3933599999996,493.4064639999999,2387.3050559999997,148,45,31.42,7521.44,2,1,19,0,27,4,33,0,7,1,0,3,2,4,23,45,24,8,13,4,3,0,0,34,5,2,68,3,0,0,0,0,0,0,5,13,3,0,6,0,2,6,18,0,0,0,0,0,0,0,0,0,0,2,0,0,2,20,0,2,0,0,0,1,0,67,0,0,0,0,0,0,0,0,1,0,2,Athenea DEL CASTILLO,2023-07-21T19:30:00Z
131884,467464,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catalina ESTRADA,2023-07-21T19:30:00Z
131884,467466,2.39,126.845565,6.759795,665.243355,0.0,3177.501285,24,1,24.93,3976.35,0,0,1,1,0,0,0,0,30,16,4,3,0,0,2,0,0,2,0,13,0,47,63,5,7,1,2,0,0,0,1,10,0,0,0,0,0,10,0,0,0,0,8,0,0,1,1,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,100,0,0,0,0,14,0,0,0,0,0,0,Daniela SOLERA,2023-07-21T19:30:00Z
131884,467481,5.49,2026.4884419999998,215.234596,3243.1111160000005,295.49156400000004,3339.784282,167,46,29.7,9120.11,1,0,0,0,0,3,0,0,2,1,1,1,0,1,0,2,0,2,5,1,1,0,0,5,2,0,2,1,0,0,0,0,0,0,4,20,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,Valeria DEL CAMPO GUTIERREZ,2023-07-21T19:30:00Z
131885,298545,5.63,1757.219009,24.391703999999997,4488.073536,158.546076,3733.9633539999995,135,15,26.21,10163.21,2,0,18,0,0,4,0,0,8,5,3,2,0,0,15,14,0,29,6,3,2,0,0,51,5,0,29,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,49,0,0,0,1,1,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,Saki KUMAGAI,2023-07-22T19:00:00Z
131885,323033,6.7,752.859972,61.72790400000001,1011.896712,158.177754,771.323229,61,14,29.0,2755.71,2,1,3,2,1,4,5,0,8,2,1,2,1,1,6,2,4,2,4,4,3,0,0,6,4,2,8,1,1,1,2,2,0,0,3,14,0,2,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,25,0,0,1,2,0,0,0,0,0,1,0,Hikaru NAOMOTO,2023-07-22T19:00:00Z
